"","NGenes","Direction","PValue","FDR","PValue.Mixed","FDR.Mixed","TERM"
"path:ecp01503",37,"Up",2.93436566347504e-16,3.55058245280479e-14,1.41113209317552e-25,6.09810654550851e-25,"Cationic antimicrobial peptide (CAMP) resistance"
"path:ecp00240",50,"Down",7.01481808718889e-15,4.24396494274928e-13,6.4710644276906e-24,2.44687123672051e-23,"Pyrimidine metabolism"
"path:ecp00230",77,"Down",6.38586289783188e-14,2.57563136879219e-12,2.6995275689925e-22,8.5958641012656e-22,"Purine metabolism"
"path:ecp00680",33,"Down",2.08096420322663e-13,6.29491671476054e-12,2.20229581224576e-24,8.88259310939124e-24,"Methane metabolism"
"path:ecp00790",26,"Down",4.55534080513939e-13,1.10239247484373e-11,5.5545371594136e-23,1.81648377375418e-22,"Folate biosynthesis"
"path:ecp00970",25,"Down",7.46344565868696e-13,1.5051282078352e-11,5.54333983724441e-16,1.19775735769031e-15,"Aminoacyl-tRNA biosynthesis"
"path:ecp00670",13,"Down",2.37851407021455e-12,4.111431464228e-11,8.64054533126597e-11,1.49357997869026e-10,"One carbon pool by folate"
"path:ecp01240",143,"Down",4.53591728042625e-12,6.8605748866447e-11,2.57797086216408e-23,8.66484650894038e-23,"Biosynthesis of cofactors"
"path:ecp01502",7,"Down",3.59968991451557e-11,4.83958310729316e-10,3.63613673479415e-06,5.17614758717756e-06,"Vancomycin resistance"
"path:ecp00030",35,"Down",1.67477361349074e-10,1.98201836123172e-09,3.19351579310733e-26,1.75643368620903e-25,"Pentose phosphate pathway"
"path:ecp00130",21,"Down",1.85174757457788e-10,1.98201836123172e-09,6.83346589711022e-15,1.37808228925056e-14,"Ubiquinone and other terpenoid-quinone biosynthesis"
"path:ecp02020",159,"Up",1.96563804419675e-10,1.98201836123172e-09,1.09802049373014e-35,8.79753307518669e-34,"Two-component system"
"path:ecp00053",19,"Up",3.44618788799821e-10,3.20760564959833e-09,5.9965891477911e-16,1.25633814619045e-15,"Ascorbate and aldarate metabolism"
"PhoPQ",11,"Up",3.75658927053393e-10,3.24676644096147e-09,1.5163589875736e-08,2.32252452527095e-08,"PhoPQ"
"path:ecp00650",32,"Up",9.31473792307728e-10,7.51388859128234e-09,2.3956525060832e-28,2.89873953236068e-27,"Butanoate metabolism"
"path:ecp00290",16,"Up",1.05658817978192e-09,7.99044810960078e-09,5.16733889099763e-10,8.33664007747618e-10,"Valine, leucine and isoleucine biosynthesis"
"path:ecp00760",24,"Down",1.57090217946605e-09,1.1181127277376e-08,2.4213562408178e-27,1.95322736759302e-26,"Nicotinate and nicotinamide metabolism"
"path:ecp00401",4,"Down",2.0499101243841e-09,1.37799513916931e-08,0.0173325775483258,0.0214004273810962,"Novobiocin biosynthesis"
"path:ecp00521",6,"Down",2.68099012156964e-09,1.64124748451702e-08,0.000271191361532181,0.00036059510709224,"Streptomycin biosynthesis"
"path:ecp00250",31,"Down",2.71280575953226e-09,1.64124748451702e-08,1.39427217301954e-26,8.87931225975599e-26,"Alanine, aspartate and glutamate metabolism"
"path:ecp00010",54,"Down",5.03212519853818e-09,2.89946261439581e-08,1.77816250024583e-26,1.07578831264872e-25,"Glycolysis / Gluconeogenesis"
"path:ecp03030",17,"Down",6.48492782654255e-09,3.5667103045984e-08,3.00183116734971e-10,5.11579677815937e-10,"DNA replication"
"path:ecp03070",56,"Down",1.43035462681432e-08,7.52490912367535e-08,3.93291347105236e-31,9.51765059994672e-30,"Bacterial secretion system"
"path:ecp03010",55,"Down",1.49661493684358e-08,7.54543363991973e-08,1.72624308586734e-11,3.07169725573454e-11,"Ribosome"
"path:ecp00460",7,"Down",2.24564012293581e-08,1.05253460434015e-07,5.66880489982305e-06,7.97587666137894e-06,"Cyanoamino acid metabolism"
"path:ecp00565",1,"Down",2.26164460436727e-08,1.05253460434015e-07,2.26164460436727e-08,3.42073746410549e-08,"Ether lipid metabolism"
"path:ecp02026",49,"Up",2.62154094577205e-08,1.17483872014229e-07,1.78988515654557e-29,2.70720129927517e-28,"Biofilm formation - Escherichia coli"
"path:ecp00660",12,"Up",3.02138575948267e-08,1.30567027463358e-07,4.95685753056303e-08,7.40468840985342e-08,"C5-Branched dibasic acid metabolism"
"path:ecp04122",18,"Down",3.34846876805697e-08,1.3971197273617e-07,5.4455175252866e-15,1.11679257721979e-14,"Sulfur relay system"
"path:ecp03060",18,"Down",3.65851933171374e-08,1.47560279712454e-07,2.79833205833134e-14,5.55078982062446e-14,"Protein export"
"path:ecp03440",27,"Down",3.81769615449417e-08,1.49013301514127e-07,1.72035225105262e-19,4.4289919654759e-19,"Homologous recombination"
"path:ecp00590",2,"Down",4.22062854752609e-08,1.5959251695333e-07,0.37244119968098,0.425145143032062,"Arachidonic acid metabolism"
"path:ecp00562",3,"Down",4.44993440119128e-08,1.63164261377014e-07,0.0657581854194528,0.07877960827479,"Inositol phosphate metabolism"
"path:ecp01250",49,"Down",5.22350323100026e-08,1.85895262044421e-07,2.04011707907757e-26,1.17549603127803e-25,"Biosynthesis of nucleotide sugars"
"path:ecp00400",22,"Down",5.79823558876294e-08,2.00453287497233e-07,2.05721745330738e-23,7.11209462429123e-23,"Phenylalanine, tyrosine and tryptophan biosynthesis"
"path:ecp01210",26,"Up",1.28800657584859e-07,4.32913321326888e-07,4.98598149721699e-17,1.1383089833269e-16,"2-Oxocarboxylic acid metabolism"
"path:ecp03018",17,"Down",2.61960107859434e-07,8.56680352729499e-07,6.05768702522946e-14,1.18222601621414e-13,"RNA degradation"
"path:ecp00750",10,"Down",3.48204203763756e-07,1.10875549093196e-06,4.20472160715333e-07,6.05680136268516e-07,"Vitamin B6 metabolism"
"path:ecp03020",4,"Down",4.21945186501206e-07,1.30911198888836e-06,0.0603897020334148,0.0730715394604319,"RNA polymerase"
"path:ecp01100",898,"Down",7.41190304276608e-07,2.24210067043674e-06,8.20552921070376e-26,3.67729272035242e-25,"Metabolic pathways"
"path:ecp00785",3,"Down",7.99830138994442e-07,2.36047431264213e-06,0.17535385702163,0.205998220384633,"Lipoic acid metabolism"
"path:ecp01110",355,"Down",9.70038115273321e-07,2.79463361781124e-06,7.08236726333426e-26,3.42786575545378e-25,"Biosynthesis of secondary metabolites"
"path:ecp00541",19,"Down",1.33824525410568e-06,3.76575990108808e-06,5.56045173220238e-17,1.24595307332683e-16,"O-Antigen nucleotide sugar biosynthesis"
"path:ecp00430",6,"Down",1.79811642191298e-06,4.94482016026069e-06,0.00166116487880372,0.00216130054123925,"Taurine and hypotaurine metabolism"
"path:ecp00740",12,"Down",2.03184746275683e-06,5.44884121623588e-06,5.84568553788224e-08,8.62595061077744e-08,"Riboflavin metabolism"
"path:ecp00330",22,"Down",2.07146029708141e-06,5.44884121623588e-06,5.78696742974444e-20,1.55605124222017e-19,"Arginine and proline metabolism"
"path:ecp01501",21,"Up",2.47859600124663e-06,6.38106630108176e-06,5.88218816729369e-19,1.45254034335212e-18,"beta-Lactam resistance"
"path:ecp03410",13,"Down",8.75402038922943e-06,2.20674263978492e-05,3.86672608317599e-10,6.49824800089297e-10,"Base excision repair"
"path:ecp00071",13,"Up",1.87361266178654e-05,4.62667616481983e-05,1.48990057984121e-11,2.69071597254905e-11,"Fatty acid degradation"
"path:ecp00903",2,"Up",2.44329253128768e-05,5.79683129972176e-05,1,1,"Limonene and pinene degradation"
"path:ecp00930",2,"Up",2.44329253128768e-05,5.79683129972176e-05,1,1,"Caprolactam degradation"
"path:ecp00040",37,"Up",2.73781395746545e-05,6.37068247794846e-05,3.34525927667094e-34,1.34925457492394e-32,"Pentose and glucuronate interconversions"
"path:ecp00860",22,"Down",2.99838129592493e-05,6.84536107182862e-05,2.22965795107174e-18,5.28997278587609e-18,"Porphyrin and chlorophyll metabolism"
"path:ecp00020",34,"Up",3.2653785392856e-05,7.31686672691773e-05,2.03175173666836e-27,1.75601400097766e-26,"Citrate cycle (TCA cycle)"
"path:ecp03420",8,"Down",4.20274461838214e-05,9.24603816044071e-05,0.00103748087712312,0.00136451289273802,"Nucleotide excision repair"
"path:ecp00592",3,"Down",4.96027039703107e-05,0.000107177271078707,0.179326414341018,0.208639385915992,"alpha-Linolenic acid metabolism"
"path:ecp00550",23,"Down",5.70105235998356e-05,0.000121022339571581,1.78702713022513e-21,5.40575706893101e-21,"Peptidoglycan biosynthesis"
"path:ecp00280",11,"Up",5.90036275687967e-05,0.000123093774755593,2.26450674033949e-12,4.28133305595435e-12,"Valine, leucine and isoleucine degradation"
"path:ecp00362",7,"Up",6.92179210594611e-05,0.00014195539742703,0.0137633085403179,0.0171686632307058,"Benzoate degradation"
"path:ecp00470",14,"Down",0.000116365838077879,0.000234671106790389,4.40435729158122e-12,8.1988804966358e-12,"D-Amino acid metabolism"
"path:ecp03430",22,"Down",0.000128902250785098,0.000255691349917981,1.53084492672211e-19,4.02678774202989e-19,"Mismatch repair"
"path:ecp00633",7,"Up",0.000140232256299145,0.00027367908084188,2.2330530260707e-05,3.0359484961186e-05,"Nitrotoluene degradation"
"path:ecp00340",8,"Down",0.000165861557129774,0.000316771895802043,0.0315468659100021,0.0385572805566692,"Histidine metabolism"
"path:ecp00332",2,"Down",0.000167548771333312,0.000316771895802043,0.559567958212973,0.632782457418408,"Carbapenem biosynthesis"
"path:ecp00600",2,"Up",0.000171573320261604,0.000319390334640832,0.781968705144989,0.87609456780133,"Sphingolipid metabolism"
"path:ecp01200",119,"Down",0.000175274385627554,0.000321336373650515,1.98047789525023e-28,2.6626425036142e-27,"Carbon metabolism"
"path:ecp02024",57,"Up",0.000213337213379467,0.000385280639088291,2.02370941409882e-21,5.97241070990139e-21,"Quorum sensing"
"path:ecp00310",19,"Up",0.000308537218729252,0.000549014756856463,2.56028727524583e-19,6.45405750634886e-19,"Lysine degradation"
"path:ecp00780",15,"Down",0.000434096361644255,0.000761241445781954,1.50028740685872e-13,2.88150438460167e-13,"Biotin metabolism"
"path:ecp02010",181,"Up",0.000457046920755777,0.000790038248734985,1.10933682195628e-26,7.45720863648389e-26,"ABC transporters"
"path:ecp01040",3,"Down",0.000474255335667071,0.00080823796641853,0.174684761578561,0.205998220384633,"Biosynthesis of unsaturated fatty acids"
"path:ecp00361",2,"Up",0.000704161091223838,0.00115139854105519,1,1,"Chlorocyclohexane and chlorobenzene degradation"
"path:ecp00364",2,"Up",0.000704161091223838,0.00115139854105519,1,1,"Fluorobenzoate degradation"
"path:ecp00623",2,"Up",0.000704161091223838,0.00115139854105519,1,1,"Toluene degradation"
"path:ecp00561",13,"Up",0.000753248631542044,0.0012152411255545,7.24437231328766e-06,1.00755063207794e-05,"Glycerolipid metabolism"
"path:ecp00300",14,"Down",0.000914679503325174,0.00145626605134666,5.63365846979541e-11,9.87931412819195e-11,"Lysine biosynthesis"
"path:ecp00052",41,"Down",0.00212939741293079,0.00334619593460553,3.55820210618156e-28,3.58785379039974e-27,"Galactose metabolism"
"path:ecp01230",124,"Down",0.0022488266609282,0.00348856443554247,2.34233666958115e-25,9.77319782825239e-25,"Biosynthesis of amino acids"
"path:ecp00350",9,"Down",0.00351509799468448,0.00538388427033952,2.52274447714676e-07,3.67773592451515e-07,"Tyrosine metabolism"
"path:ecp00511",3,"Up",0.00371028975184913,0.00560742075857949,1,1,"Other glycan degradation"
"path:ecp00281",5,"Up",0.00375372794582594,0.00560742075857949,0.832476813649779,0.924125637170855,"Geraniol degradation"
"path:ecp00900",13,"Down",0.00563096349951002,0.00830910467610625,3.97790225767819e-10,6.59350922163096e-10,"Terpenoid backbone biosynthesis"
"path:ecp00061",14,"Down",0.0057174569561082,0.0083350878516758,1.2561023577948e-08,1.94856904222013e-08,"Fatty acid biosynthesis"
"path:ecp00500",41,"Up",0.0097696840427051,0.0140729972519919,1.08388456708264e-23,3.85735390049997e-23,"Starch and sucrose metabolism"
"path:ecp00260",39,"Down",0.014554245263499,0.020718396198628,1.06601523438131e-23,3.85735390049997e-23,"Glycine, serine and threonine metabolism"
"path:ecp00523",3,"Down",0.0187721005259123,0.026108323719947,0.996237941505782,1,"Polyketide sugar unit biosynthesis"
"path:ecp00525",3,"Down",0.0187721005259123,0.026108323719947,0.996237941505782,1,"Acarbose and validamycin biosynthesis"
"path:ecp00627",5,"Up",0.0211083112727061,0.0290239279999709,0.99507841695812,1,"Aminobenzoate degradation"
"path:ecp00730",14,"Down",0.0255842843885097,0.0347831282135919,5.07109507980102e-12,9.29700764630187e-12,"Thiamine metabolism"
"path:ecp02030",20,"Up",0.030028244605462,0.0403713066362322,4.15284028220163e-20,1.14203107760545e-19,"Bacterial chemotaxis"
"path:ecp02060",43,"Up",0.0314346755135633,0.0417977553531995,1.00362778166489e-20,2.82416189724306e-20,"Phosphotransferase system (PTS)"
"path:ecp00770",24,"Up",0.0345932402930279,0.0454976312549606,7.18077835535297e-21,2.06874804999455e-20,"Pantothenate and CoA biosynthesis"
"path:ecp00051",54,"Down",0.0356583192282394,0.0463941572754512,1.44198068400978e-31,4.36199156912958e-30,"Fructose and mannose metabolism"
"path:ecp00480",24,"Down",0.0419319485580366,0.0539762316544939,3.80494958382411e-27,2.87749312276699e-26,"Glutathione metabolism"
"path:ecp00564",27,"Up",0.06896797191383,0.0878434168586677,1.45413769837796e-35,8.79753307518669e-34,"Glycerophospholipid metabolism"
"path:ecp00643",2,"Up",0.0781026558395726,0.098441889131128,1,1,"Styrene degradation"
"path:ecp00220",20,"Down",0.0998632093693011,0.124571632306035,2.44641248782528e-24,9.54890035570512e-24,"Arginine biosynthesis"
"path:ecp00440",7,"Up",0.106592912088165,0.131609615945592,0.991450765477822,1,"Phosphonate and phosphinate metabolism"
"path:ecp00910",23,"Up",0.112039398431632,0.136304265650242,3.24230621111602e-22,1.00594628601292e-21,"Nitrogen metabolism"
"path:ecp01120",257,"Down",0.112648153429952,0.136304265650242,3.04241421363504e-28,3.34665563499854e-27,"Microbial metabolism in diverse environments"
"path:ecp00380",12,"Up",0.149061494512538,0.178578622138783,4.66207658778438e-10,7.62312523137716e-10,"Tryptophan metabolism"
"path:ecp00920",30,"Down",0.162170787620128,0.192379071588583,9.01935197134412e-31,1.8189026475544e-29,"Sulfur metabolism"
"path:ecp00261",9,"Down",0.178815570683434,0.210064893715491,1.32310325634718e-05,1.81926697747737e-05,"Monobactam biosynthesis"
"path:ecp00630",41,"Up",0.211562113580621,0.246144382146684,5.42075959960112e-26,2.85179091979015e-25,"Glyoxylate and dicarboxylate metabolism"
"path:ecp00270",39,"Down",0.218795472153327,0.252135734576691,7.56567652535271e-26,3.52094945987568e-25,"Cysteine and methionine metabolism"
"path:ecp00360",10,"Down",0.225921627303167,0.257891668902672,4.57682449127242e-09,7.19215277199952e-09,"Phenylalanine metabolism"
"path:ecp02040",45,"Up",0.246987009784199,0.279303067139141,1.09575539801007e-17,2.54973852229266e-17,"Flagellar assembly"
"path:ecp00640",34,"Up",0.273366876022299,0.306272148136094,8.43411710686721e-27,6.00310688194666e-26,"Propanoate metabolism"
"path:ecp00121",1,"Up",0.332575947713837,0.369189813517195,0.332575947713837,0.383254187365469,"Secondary bile acid biosynthesis"
