"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_4482",-1.33602985581185,8.90143787052671,545.774200511265,1.72600819786626e-26,7.83435121011496e-23,"ECP_4482"
"ECP_1124",1.14174266706243,8.8251701899146,457.860628086825,6.12796315589091e-25,1.39074123822944e-21,"ECP_1124"
"ECP_4492",1.13702609459588,10.686033629164,382.146312919246,2.28283462722322e-23,3.45392879098874e-20,"ECP_4492"
"ECP_1125",1.20389830785827,8.93894181483331,368.825109551625,4.60950364017664e-23,5.23063425569045e-20,"ECP_1125"
"ECP_2895",-1.27598820370938,9.01211063138183,336.807275146811,2.7512616047822e-22,2.49759528482128e-19,"ECP_2895"
"ECP_0855",1.02174888601133,8.05676602185962,332.057289126908,3.63228223037109e-22,2.74782150727573e-19,"ECP_0855"
"ECP_4180",1.06103959377147,8.83651686649053,312.305281309451,1.1990169547975e-21,7.77476851117978e-19,"ECP_4180"
"ECP_1552",1.25498050865689,8.29064053807111,272.331625114618,1.67118692067595e-20,9.48189679118517e-18,"ECP_1552"
"ECP_1532",1.17679886349176,8.06351551889942,268.266518150198,2.22545357384696e-20,1.01013337716913e-17,"ECP_1532"
"ECP_2562",1.22131550591228,6.20654348305249,269.472145104458,2.04341825825189e-20,1.01013337716913e-17,"ECP_2562"
"ECP_2484",0.950638365155118,8.13050114701201,220.844807232854,8.55241916241902e-19,3.52903914347454e-16,"ECP_2484"
"ECP_0653",1.41925262794796,5.81500051012686,214.790823525664,1.42773492681706e-18,5.40040736068551e-16,"ECP_0653"
"ECP_3282",0.753181895442857,8.84030591058028,206.655049046173,2.8981463322156e-18,1.01189893860974e-15,"ECP_3282"
"ECP_1553",1.18906747587234,7.60388621505003,188.776220199309,1.49493257405052e-17,4.6742039850573e-15,"ECP_1553"
"ECP_2485",0.736209957105744,9.32299340708015,188.432827539452,1.54468076175059e-17,4.6742039850573e-15,"ECP_2485"
"ECP_0689",0.863229246761902,8.30872072766922,184.371703241131,2.28348236782137e-17,6.47795404221326e-15,"ECP_0689"
"ECP_3279",0.924329832353566,8.6355145678679,178.017497107345,4.26970567614156e-17,1.1400114155298e-14,"ECP_3279"
"ECP_1531",1.0695186094324,8.05631107545013,176.701277070912,4.87165509188951e-17,1.22846902567147e-14,"ECP_1531"
"ECP_4356",1.29985669991007,7.47046671131647,180.149330198134,7.62481113776725e-17,1.82152725022766e-14,"ECP_4356"
"ECP_0609",0.827915637972222,9.24808879376427,171.744715568898,8.06308266086407e-17,1.8299166098831e-14,"ECP_0609"
"ECP_0356",1.17397137828875,6.08861137582547,161.008708301758,2.50238852720371e-16,5.40873405951316e-14,"ECP_0356"
"ECP_2575",1.1774532429103,9.12730855874492,153.119971715966,1.88601007972971e-15,3.89118170540598e-13,"ECP_2575"
"ECP_1587",0.790137000015301,10.8414724424507,141.854793794556,2.2079811385938e-15,4.35740277742489e-13,"ECP_1587"
"ECP_4364",0.920484588348515,6.38147481452842,140.042681111634,2.7446943843561e-15,5.19090325441348e-13,"ECP_4364"
"ECP_4181",0.75814283667875,7.13827377803701,139.582138835634,2.90174972065576e-15,5.26841679282259e-13,"ECP_4181"
"ECP_0853",0.995270224231995,7.32833810068521,138.963966456586,3.12747203089851e-15,5.45984444163397e-13,"ECP_0853"
"ECP_0940",-1.76295718743368,8.00915050057241,175.63630855836,3.74795798975769e-15,6.30073382055932e-13,"ECP_0940"
"ECP_0048",0.664899974730691,8.39875084547107,135.29425046993,4.90496657799362e-15,7.95130117768323e-13,"ECP_0048"
"ECP_1514",1.05925674603747,9.4291172044932,136.931523251213,5.873883418675e-15,9.19364028874684e-13,"ECP_1514"
"ECP_1558",0.690019029507868,9.50336116677307,130.41669672272,9.05197517160572e-15,1.36956384346395e-12,"ECP_1558"
"ECP_1339",0.952730888523207,8.60192187736825,129.409374767297,1.029519781235e-14,1.48682762697055e-12,"ECP_1339"
"ECP_2574",0.920526080936427,8.68979264133665,129.268981502327,1.04821511485035e-14,1.48682762697055e-12,"ECP_2574"
"ECP_0164",0.691149031635431,10.3908902008845,126.41825828953,1.5154716098981e-14,2.08446231434166e-12,"ECP_0164"
"ECP_4108",-0.900559107343088,6.44240209573387,121.268668811338,2.99724384660615e-14,4.0013205352192e-12,"ECP_4108"
"ECP_3280",0.953013330342944,8.40891978906348,119.495893848963,4.00491310503844e-14,5.19380016679128e-12,"ECP_3280"
"ECP_1769",1.04537987623768,8.10516633402852,123.170613825873,4.87771324192777e-14,6.14998344586394e-12,"ECP_1769"
"ECP_4168",0.992814362257356,9.46857626605364,117.034056995085,8.69638058695567e-14,1.06683436443762e-11,"ECP_4168"
"ECP_3062",1.50513149023136,4.00026191057235,113.06812222413,9.29313469983887e-14,1.11004048427812e-11,"ECP_3062"
"ECP_4142",-0.680531345960959,8.170504170934,112.542612299265,1.00122793565415e-13,1.16527528203441e-11,"ECP_4142"
"ECP_2296",1.21943962641215,8.16289591157178,127.030008855572,1.20976864155558e-13,1.37278496600519e-11,"ECP_2296"
"ECP_0357",1.372961665447,5.62800868725289,108.116977721935,2.6099309715067e-13,2.88938455601681e-11,"ECP_0357"
"ECP_2215",0.880030429588063,9.31712554274487,104.010540052695,3.4873071270441e-13,3.7687826308698e-11,"ECP_2215"
"ECP_1768",0.712798506055862,8.54129931780734,103.840752073959,3.57383900621184e-13,3.77247796492919e-11,"ECP_1768"
"ECP_4355",0.96238136322249,7.54408616847798,103.955273971156,4.97065236376113e-13,5.12767979070722e-11,"ECP_4355"
"ECP_1481",0.702009563216975,9.77335967270632,100.933628494085,5.56040132765703e-13,5.60859147249672e-11,"ECP_1481"
"ECP_1726",-0.933396845075632,5.51613245871282,97.6239779890982,9.29949811129241e-13,8.98094083556516e-11,"ECP_1726"
"ECP_4357",1.53426616511963,9.50042897903115,123.92998704219,9.13293384238666e-13,8.98094083556516e-11,"ECP_4357"
