"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1514",2.08840543901647,9.4291172044932,501.441143595027,2.42556515057118e-25,1.10096402184426e-21,"ECP_1514"
"ECP_0609",1.25184303615299,9.24808879376427,370.141629540557,4.29593035346078e-23,9.74961393717923e-20,"ECP_0609"
"ECP_1481",1.30303907719601,9.77335967270632,331.30374812504,3.79716576251582e-22,5.74511179868643e-19,"ECP_1481"
"ECP_1124",0.982368766523556,8.8251701899146,314.933458427782,1.01900139023221e-21,1.15631182756599e-18,"ECP_1124"
"ECP_0940",-3.05417156873823,8.00915050057241,451.853998329427,1.66916103662845e-21,1.5152643890513e-18,"ECP_0940"
"ECP_3248",2.03502621648335,6.12057964173869,311.784483942904,2.4884887261831e-21,1.88254172135751e-18,"ECP_3248"
"ECP_2562",1.2841564543475,6.20654348305249,281.399100289872,8.93801270895688e-21,5.79566281227933e-18,"ECP_2562"
"ECP_1125",1.06799478526953,8.93894181483331,271.61536266659,1.75721953417078e-20,9.97002433200145e-18,"ECP_1125"
"ECP_1552",1.29627217752779,8.29064053807111,268.951622482755,2.12002354618136e-20,1.0691985417908e-17,"ECP_1552"
"ECP_4180",0.956635171093415,8.83651686649053,235.101628869593,2.67631124602301e-19,1.21477767456985e-16,"ECP_4180"
"ECP_3045",-1.59232294923871,6.04812928944233,227.534683284906,4.9206316439227e-19,1.90186624871607e-16,"ECP_3045"
"ECP_3282",0.818264193845712,8.84030591058028,227.270130940539,5.02806675139742e-19,1.90186624871607e-16,"ECP_3282"
"ECP_4356",1.51805383729103,7.47046671131647,228.06340595053,1.20771736093267e-18,4.21679161636416e-16,"ECP_4356"
"ECP_3046",-1.54697505508614,6.78086503879054,213.618561445709,2.60825413591527e-18,8.45633251637099e-16,"ECP_3046"
"ECP_3511",2.26614108887315,5.62844725994499,242.071006626387,3.7151057590376e-18,1.12419100268478e-15,"ECP_3511"
"ECP_2296",1.69554774573698,8.16289591157178,231.68287320656,1.0688517334745e-17,3.03219876140048e-15,"ECP_2296"
"ECP_2214",1.3406150459766,7.44032550246681,189.380631557034,2.31712535869621e-17,6.18672470771887e-15,"ECP_2214"
"ECP_1553",1.21540374876864,7.60388621505003,182.747096058021,2.67521967311304e-17,6.55082133653688e-15,"ECP_1553"
"ECP_2484",0.89137732171202,8.13050114701201,182.494639545605,2.74213715343029e-17,6.55082133653688e-15,"ECP_2484"
"ECP_1796",0.805254119423206,10.0488312126303,181.025475871969,3.16789046466731e-17,7.18952740956246e-15,"ECP_1796"
"ECP_3044",-1.41232727419998,4.72182487889538,178.846227631631,3.93105055947484e-17,8.49668499497918e-15,"ECP_3044"
"ECP_0356",1.25678300162222,6.08861137582547,177.584026864831,4.45885828334445e-17,9.19943534004566e-15,"ECP_0356"
"ECP_4133",1.18157295824161,7.08017604002907,176.218424590979,5.11417104338897e-17,1.00927053764967e-14,"ECP_4133"
"ECP_2574",1.10835467869984,8.68979264133665,175.199884213989,5.66805957696042e-17,1.07197176749264e-14,"ECP_2574"
"ECP_3322",1.95957937783003,10.8140613721812,225.004932394035,7.17414455699232e-17,1.30253768576753e-14,"ECP_3322"
"ECP_0596",-1.45227905564983,5.63571043290274,171.86665810641,7.96264042100374e-17,1.39009326426677e-14,"ECP_0596"
"ECP_2300",1.8129745848754,5.70325514333161,184.11894546264,8.73434839733249e-17,1.46834101390712e-14,"ECP_2300"
"ECP_1513",2.10937912112629,8.2745135532401,232.935153366109,9.62716886712997e-17,1.56063283885368e-14,"ECP_1513"
"ECP_4373",0.709143166431222,9.0566976215707,166.886134501014,1.33648861793262e-16,2.0918351161366e-14,"ECP_4373"
