"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1093",-2.34000839099679,9.83764829478584,272.678862889183,1.63107495383759e-20,7.40344921546883e-17,"ECP_1093"
"ECP_1124",1.23503630162053,8.8251701899146,179.579209353584,3.65491724990592e-17,5.52988979910765e-14,"ECP_1124"
"ECP_2755",-1.65736300868005,6.85116703178036,182.906210216801,2.63392294268257e-17,5.52988979910765e-14,"ECP_2755"
"ECP_4180",1.24567686489008,8.83651686649053,143.467919332812,1.82243258764997e-15,2.0680053788358e-12,"ECP_4180"
"ECP_1125",1.23645988894975,8.93894181483331,131.145171754013,8.25137529904869e-15,7.4905984964764e-12,"ECP_1125"
"ECP_2574",1.58572243235809,8.68979264133665,128.549153080425,1.14980454610036e-14,7.49487830001978e-12,"ECP_2574"
"ECP_2575",1.93116907099919,9.12730855874492,136.831192326917,1.15585256885081e-14,7.49487830001978e-12,"ECP_2575"
"ECP_3282",1.01009696846223,8.84030591058028,123.652163450184,2.18020098333109e-14,1.23699153291748e-11,"ECP_3282"
"ECP_4181",1.18308845204716,7.13827377803701,114.840916776181,7.24038953720849e-14,3.65156978993215e-11,"ECP_4181"
"ECP_0940",-2.61626261071843,8.00915050057241,135.409399436046,1.53240509715561e-13,6.95558673598933e-11,"ECP_0940"
"ECP_1552",1.36365552964135,8.29064053807111,107.623478317968,2.03695808561205e-13,8.40522977326647e-11,"ECP_1552"
"ECP_3912",1.98925660490868,5.68509850777479,101.919879266242,4.78130088360222e-13,1.80852705922254e-10,"ECP_3912"
"ECP_2453",1.66814749000582,7.17454583067973,102.033527952881,5.71020361879024e-13,1.99373955582222e-10,"ECP_2453"
"ECP_0821",-1.68432775750099,6.94761451976386,100.533763141241,7.11442136649893e-13,2.17933390293835e-10,"ECP_0821"
"ECP_3336",1.13044821355262,7.10641249431468,99.25917231147,7.20202876053652e-13,2.17933390293835e-10,"ECP_3336"
"ECP_3648",1.75947790224711,5.89974825423638,97.1096327105193,1.00842613871633e-12,2.8607789022709e-10,"ECP_3648"
"ECP_0855",0.949455878219082,8.05676602185962,95.3191495466378,1.34012676471166e-12,3.40883635597785e-10,"ECP_0855"
"ECP_2562",1.23585066096731,6.20654348305249,95.2648195063133,1.35181877963431e-12,3.40883635597785e-10,"ECP_2562"
"ECP_0956",1.09848099108021,7.78252536839482,94.8653287113537,1.44113401724665e-12,3.44279331804344e-10,"ECP_0956"
"ECP_0653",1.57527045432552,5.81500051012686,93.2689094587876,1.86446756689922e-12,4.23140914307778e-10,"ECP_0653"
"ECP_1553",1.42857291900495,7.60388621505003,91.2122309959562,2.60982574078679e-12,5.64095192258629e-10,"ECP_1553"
"ECP_1514",1.48551827661525,9.4291172044932,88.889263918997,4.96159746151315e-12,9.79160472948181e-10,"ECP_1514"
"ECP_3913",1.83450366233328,5.28795634453187,87.5374422156085,4.82255268611366e-12,9.79160472948181e-10,"ECP_3913"
"ECP_4103",-0.935479280872873,7.68689463750997,86.821040052687,5.44681824630574e-12,1.03012950083257e-09,"ECP_4103"
"ECP_1532",1.1402097604094,8.06351551889942,84.5487774184539,8.04981820161578e-12,1.46152499268536e-09,"ECP_1532"
"ECP_3046",-1.58539387839144,6.78086503879054,84.020747644771,1.10423103488537e-11,1.92773256436335e-09,"ECP_3046"
"ECP_4492",0.912423256373796,10.686033629164,81.9369160538936,1.27228594324422e-11,2.13885403569834e-09,"ECP_4492"
"ECP_3248",1.71598829592441,6.12057964173869,81.3769618583336,1.77632651674881e-11,2.8795521641153e-09,"ECP_3248"
"ECP_0055",1.0194631376768,7.61826362950773,79.0964701817277,2.1163754277349e-11,3.2020760221629e-09,"ECP_0055"
"ECP_1544",1.92686432320089,5.183198408396,79.1270277674865,2.10468754303734e-11,3.2020760221629e-09,"ECP_1544"
"ECP_2496",1.15363039904928,7.38871535265886,76.9340218770902,3.14304972926168e-11,4.60203313584477e-09,"ECP_2496"
"ECP_3279",1.04946853524056,8.6355145678679,76.6033009301004,3.3411407994395e-11,4.73919940270497e-09,"ECP_3279"
"ECP_0048",0.834672392015739,8.39875084547107,71.3539417021776,9.02447810445607e-11,1.24127594291291e-08,"ECP_0048"
"ECP_1326",-1.00057179634138,6.35401158509198,70.3922442957659,1.08803604318201e-10,1.45252811764798e-08,"ECP_1326"
"ECP_1481",1.00692380878373,9.77335967270632,69.7761631461498,1.22755704483761e-10,1.59196612186227e-08,"ECP_1481"
"ECP_3045",-1.43303712556063,6.04812928944233,69.1369846810065,1.39223068931015e-10,1.75537086077189e-08,"ECP_3045"
"ECP_2484",0.9162464514522,8.13050114701201,68.4327172397762,1.60071420359366e-10,1.91201099213464e-08,"ECP_2484"
"ECP_2643",1.16216727421995,7.24310531806378,68.563701576744,1.55960014180786e-10,1.91201099213464e-08,"ECP_2643"
"ECP_0955",1.24168837925517,7.02966154311243,68.1985702819034,1.67705798808692e-10,1.95183748921193e-08,"ECP_0955"
"ECP_3047",-1.76095460904661,5.85343327862268,70.1351583558736,1.79748963847889e-10,2.03970136726392e-08,"ECP_3047"
"ECP_2901",-0.839104577155272,7.70886254372858,65.2120017895047,3.06539973664336e-10,3.3936218060059e-08,"ECP_2901"
"ECP_3627",0.977156471066405,8.1750001733835,63.2086795271016,4.6379156371402e-10,5.01226168499509e-08,"ECP_3627"
"ECP_0609",0.870053300507781,9.24808879376427,62.9263226240215,4.91977831427343e-10,5.19322645778769e-08,"ECP_0609"
"ECP_0171",3.49446443464489,10.81753716706,77.3177285973048,5.58664665745214e-10,5.76313390413074e-08,"ECP_0171"
"ECP_3924",-0.939565541408955,6.32132847958369,61.096466364926,7.23925371507605e-10,7.30199391394004e-08,"ECP_3924"
"ECP_0165",1.01423534862532,7.68705124324696,60.3803116604655,8.43647658412699e-10,8.32460156855487e-08,"ECP_0165"
"ECP_0357",1.64552007145721,5.62800868725289,60.2266392941847,1.03859441089565e-09,1.00301702788412e-07,"ECP_0357"
"ECP_0184",1.02970194774475,9.27002503144592,59.0012272489378,1.13627080189598e-09,1.07448607704288e-07,"ECP_0184"
"ECP_0056",0.93616619227283,8.40062292853563,56.5635154231737,1.94301215524812e-09,1.79986370870841e-07,"ECP_0056"
"ECP_3511",1.88020649778195,5.62844725994499,59.7428507559939,2.44039927421438e-09,2.21539446113181e-07,"ECP_3511"
"ECP_3322",1.72320651625222,10.8140613721812,61.8534617134406,2.89485682660117e-09,2.57642257567504e-07,"ECP_3322"
"ECP_1587",0.852399496712261,10.8414724424507,54.4205001163026,3.14877121020213e-09,2.74851394675143e-07,"ECP_1587"
"ECP_2485",0.682815457721358,9.32299340708015,53.7976056526038,3.63047616730945e-09,3.10919458932407e-07,"ECP_2485"
"ECP_2573",0.887294472890745,7.3811550942069,52.4663545032516,4.9369592536676e-09,4.14978852822171e-07,"ECP_2573"
"ECP_1531",1.001929503023,8.05631107545013,52.3012737019593,5.13033329545019e-09,4.23392415055425e-07,"ECP_1531"
"ECP_1023",1.74903182751572,4.31026554787249,51.8208800760182,5.73945776116685e-09,4.52949359623019e-07,"ECP_1023"
"ECP_1545",1.70812275456441,4.76595712812534,51.9124737552218,5.61773614174363e-09,4.52949359623019e-07,"ECP_1545"
"ECP_3927",-1.54018698995958,6.45481515182955,55.6884779945728,5.78785257945255e-09,4.52949359623019e-07,"ECP_3927"
"ECP_2935",-0.920961992884402,9.58515491674016,51.0782656408492,6.83423489880739e-09,5.25772749248928e-07,"ECP_2935"
"ECP_3145",2.1661588840406,8.04871886638643,60.4748160393217,6.97863866298146e-09,5.27934014854547e-07,"ECP_3145"
"ECP_1768",0.857195939457511,8.54129931780734,49.8886901936929,9.06616464505052e-09,6.67325128832744e-07,"ECP_1768"
"ECP_4690",0.880346113902365,9.05859654054234,49.8661079941486,9.11525842424105e-09,6.67325128832744e-07,"ECP_4690"
"ECP_1590",1.04847088122565,5.48144135147558,48.992398864186,1.12450687363592e-08,8.10180428481499e-07,"ECP_1590"
"ECP_1662",-0.844716892710901,9.24455297219091,48.8112271012494,1.17485032059499e-08,8.24192526397203e-07,"ECP_1662"
