"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1217",-2.0163863700335,8.647178360866,114.210282249481,7.91010743635215e-14,3.59039776536024e-10,"ECP_1217"
"ECP_1124",1.42975211527192,8.8251701899146,97.3414290881727,9.72235910704835e-13,2.20648939934462e-09,"ECP_1124"
"ECP_1807",-2.37897399693902,6.74738579975619,94.5980878076017,1.50430911713729e-12,2.27601969422872e-09,"ECP_1807"
"ECP_1514",2.29209395780856,9.4291172044932,86.816036049545,7.00194878904391e-12,7.94546138836757e-09,"ECP_1514"
"ECP_0902",-1.64517492893421,9.775264219496,81.8008367315392,1.30333691787726e-11,1.18316925404898e-08,"ECP_0902"
"ECP_2935",-1.77851271474219,9.58515491674016,78.6506375603239,2.29483685834862e-11,1.48803778572063e-08,"ECP_2935"
"ECP_4492",1.41701465464642,10.686033629164,78.9605059936926,2.16920869078812e-11,1.48803778572063e-08,"ECP_4492"
"ECP_3282",1.24789615705932,8.84030591058028,76.4606310582649,3.43058568366974e-11,1.94642855227212e-08,"ECP_3282"
"ECP_1125",1.44169392283808,8.93894181483331,71.6018224197779,8.6019896407857e-11,4.22043453114317e-08,"ECP_1125"
"ECP_1808",-1.46786934520352,9.11236553575555,71.199761593746,9.29815935479879e-11,4.22043453114317e-08,"ECP_1808"
"ECP_1326",-1.4886273945808,6.35401158509198,63.9477217298167,3.97725263564556e-10,1.64115906483593e-07,"ECP_1326"
"ECP_1216",-1.80150152404677,6.85750640776675,53.0108287386018,4.35143754032998e-09,1.51932115350444e-06,"ECP_1216"
"ECP_2596",-1.37742262941678,6.71730065042345,53.1330246296988,4.23030355562168e-09,1.51932115350444e-06,"ECP_2596"
"ECP_3279",1.34969105531055,8.6355145678679,50.8562877063609,7.20230928419714e-09,2.260782415982e-06,"ECP_3279"
"ECP_3476",-1.03148517751807,10.0066699575775,50.7015049914506,7.47119106405155e-09,2.260782415982e-06,"ECP_3476"
"ECP_4180",1.12103649886126,8.83651686649053,47.682137940042,1.54664889451806e-08,4.38764958263592e-06,"ECP_4180"
"ECP_1590",1.59238526110377,5.48144135147558,46.7310912642675,1.95504603062158e-08,5.21997290175962e-06,"ECP_1590"
"ECP_0048",1.04966696918257,8.39875084547107,45.6826404318644,2.53881918515048e-08,6.40205571188779e-06,"ECP_0048"
"ECP_2214",1.69416384101619,7.44032550246681,43.902585663222,4.47545522695545e-08,1.01925107492607e-05,"ECP_2214"
"ECP_3248",1.94787871917416,6.12057964173869,43.8264177331438,4.56246601102002e-08,1.01925107492607e-05,"ECP_3248"
"ECP_4184",-1.36052720557533,6.23119873709261,43.2478863035719,4.71563616951914e-08,1.01925107492607e-05,"ECP_4184"
