"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0533",-3.16375748289914,8.06264679152406,1263.80025454178,3.92135959547504e-34,1.77990512038612e-30,"ECP_0533"
"ECP_0532",-2.74367060310845,9.19151200130725,913.842846702985,3.81720219408999e-31,8.66314037948723e-28,"ECP_0532"
"ECP_1124",1.12447143685949,8.8251701899146,427.784786511221,2.40420597826261e-24,3.63756364511132e-21,"ECP_1124"
"ECP_1514",1.69603955020173,9.4291172044932,337.283457378881,5.56586597708518e-22,6.31586641749741e-19,"ECP_1514"
"ECP_4180",1.07112225722229,8.83651686649053,304.830391908897,1.91716517761872e-21,1.74040254824227e-18,"ECP_4180"
"ECP_0940",-2.99288214551622,8.00915050057241,438.428663073704,2.717325908811e-21,2.05565705001552e-18,"ECP_0940"
"ECP_0609",1.095895414391,9.24808879376427,289.085031731387,5.33030799594709e-21,3.45632399908626e-18,"ECP_0609"
"ECP_1552",1.30391382968422,8.29064053807111,280.858129137589,9.27345062175618e-21,5.26152404651891e-18,"ECP_1552"
"ECP_3282",0.88976915410663,8.84030591058028,277.473346798662,1.16940433780663e-20,5.89769587700479e-18,"ECP_3282"
"ECP_3248",1.88253527312799,6.12057964173869,266.749899918957,4.66064921647197e-20,2.11546867935663e-17,"ECP_3248"
"ECP_1125",1.02274431409105,8.93894181483331,255.691336252131,5.53063958625972e-20,2.28214300745753e-17,"ECP_1125"
"ECP_0097",-0.805407692934361,9.23257899178595,241.987387973359,1.55971661461096e-19,5.89962809476594e-17,"ECP_0097"
"ECP_1481",1.09762923194246,9.77335967270632,240.840689480017,1.70490363426489e-19,5.95273661225255e-17,"ECP_1481"
"ECP_1553",1.346675167491,7.60388621505003,232.761153961946,3.22526324812426e-19,1.04567642023114e-16,"ECP_1553"
"ECP_2562",1.12240229599128,6.20654348305249,217.463165345743,1.1370200075252e-18,3.44062254277126e-16,"ECP_2562"
"ECP_0653",1.40801841978142,5.81500051012686,201.590615662713,4.55643390052605e-18,1.21656785144046e-15,"ECP_0653"
"ECP_3046",-1.50607210623025,6.78086503879054,207.429357462724,4.42427269111546e-18,1.21656785144046e-15,"ECP_3046"
"ECP_2214",1.36411985770578,7.44032550246681,200.570467745017,8.38324034004801e-18,2.11397377241544e-15,"ECP_2214"
"ECP_2574",1.14703588751874,8.68979264133665,193.74191784869,9.36173926775373e-18,2.12464672681671e-15,"ECP_2574"
"ECP_4492",0.828436703896961,10.686033629164,193.764282102843,9.34223471942739e-18,2.12464672681671e-15,"ECP_4492"
