"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_0700",-1.19308123415991,9.81865785165638,389.262447529971,1.58250285132577e-23,5.30145238438714e-20,"ECP_0700"
"ECP_1514",2.03681203391691,9.4291172044932,397.502089295863,2.335956106802e-23,5.30145238438714e-20,"ECP_1514"
"ECP_0940",-3.28414968350262,8.00915050057241,450.127297660427,1.77577744484458e-21,2.01506345553739e-18,"ECP_0940"
"ECP_4180",1.19173806066333,8.83651686649053,308.642103256998,1.50721663261366e-21,2.01506345553739e-18,"ECP_4180"
"ECP_2620",-1.25797936598932,7.07590607509545,289.339584255139,5.24090895450385e-21,4.7576971488986e-18,"ECP_2620"
"ECP_0609",1.20707103945976,9.24808879376427,286.150854646184,6.4838597347873e-21,4.90503988936659e-18,"ECP_0609"
"ECP_1124",0.966612742284503,8.8251701899146,256.725094585148,5.12450755468018e-20,3.32287711295619e-17,"ECP_1124"
"ECP_3046",-1.80519378784719,6.78086503879054,244.342673884576,2.25780356853953e-19,1.13868559973344e-16,"ECP_3046"
"ECP_3248",1.97287031321989,6.12057964173869,245.846035522908,2.10717124691879e-19,1.13868559973344e-16,"ECP_3248"
"ECP_3045",-1.72871348080965,6.04812928944233,226.344524701048,5.42366092849822e-19,2.46179969544534e-16,"ECP_3045"
"ECP_1125",1.04602361603707,8.93894181483331,217.88718399917,1.09691342447407e-18,4.52626366698892e-16,"ECP_1125"
"ECP_2214",1.56339327110089,7.44032550246681,215.810217547183,2.25841681793713e-18,8.5424616138472e-16,"ECP_2214"
"ECP_1552",1.22855460944622,8.29064053807111,203.368743669792,3.88304069014151e-18,1.34396683164447e-15,"ECP_1552"
"ECP_2562",1.1909372738531,6.20654348305249,202.640491158895,4.14530417339119e-18,1.34396683164447e-15,"ECP_2562"
"ECP_2575",1.55388161461485,9.12730855874492,209.135887614219,1.00091886946927e-17,3.028780499014e-15,"ECP_2575"
"ECP_2574",1.25943093828718,8.68979264133665,192.205489153931,1.08090835327562e-17,3.06640188469878e-15,"ECP_2574"
"ECP_4133",1.33289549961887,7.08017604002907,187.186347633162,1.74029758248545e-17,4.64659454523616e-15,"ECP_4133"
"ECP_3282",0.790874062089145,8.84030591058028,178.409880583553,4.10571188747137e-17,1.03532368095736e-14,"ECP_3282"
"ECP_3049",-1.20920683511909,6.48025729442653,172.156231314349,7.72932862969769e-17,1.84649592895778e-14,"ECP_3049"
"ECP_3044",-1.48824882593892,4.72182487889538,165.031846538442,1.62580522338522e-16,3.68976495447275e-14,"ECP_3044"
"ECP_0470",-1.07075837596495,7.38880360975278,159.873381922986,2.8305861376583e-16,6.11810975182429e-14,"ECP_0470"
"ECP_1513",2.18738710639301,8.2745135532401,210.185992259765,4.3813183378232e-16,9.03945633426341e-14,"ECP_1513"
"ECP_1796",0.81608310835229,10.0488312126303,154.430352681459,5.16073642632357e-16,9.80863077077136e-14,"ECP_1796"
"ECP_4492",0.820624212713405,10.686033629164,154.386146503026,5.18632162367289e-16,9.80863077077136e-14,"ECP_4492"
"ECP_0653",1.34636095167189,5.81500051012686,153.345604509017,5.82846322736382e-16,1.01751517650017e-13,"ECP_0653"
"ECP_1553",1.21137057908988,7.60388621505003,153.432003478745,5.77210891289468e-16,1.01751517650017e-13,"ECP_1553"
"ECP_2453",1.35097215248552,7.17454583067973,155.087639034107,6.35758977235799e-16,1.06878148061974e-13,"ECP_2453"
"ECP_0596",-1.45839008051993,5.63571043290274,150.07591967759,8.4454195389058e-16,1.26778358222362e-13,"ECP_0596"
"ECP_0853",1.16266967030485,7.32833810068521,149.885819585693,8.63116844358794e-16,1.26778358222362e-13,"ECP_0853"
"ECP_3279",0.960109132787323,8.6355145678679,150.477753330716,8.06640294381423e-16,1.26778358222362e-13,"ECP_3279"
"ECP_3322",1.97899616343952,10.8140613721812,190.841381196848,8.65857921324788e-16,1.26778358222362e-13,"ECP_3322"
"ECP_4356",1.35339493329315,7.47046671131647,152.40956905286,1.29624524031256e-15,1.83864285805585e-13,"ECP_4356"
"ECP_3047",-1.70125126913686,5.85343327862268,152.271235668571,1.68067308544975e-15,2.31168943480498e-13,"ECP_3047"
"ECP_0171",3.80359067344523,10.81753716706,209.082640191418,1.94731642055163e-15,2.56209348104989e-13,"ECP_0171"
"ECP_0524",1.80490064488591,9.85678603344,177.970585094862,1.97561735705544e-15,2.56209348104989e-13,"ECP_0524"
"ECP_0956",0.866158590993957,7.78252536839482,138.369063374107,3.36207248465247e-15,4.23901305773265e-13,"ECP_0956"
"ECP_3648",1.39417194821008,5.89974825423638,137.760593707219,3.62113003435163e-15,4.44224573673569e-13,"ECP_3648"
"ECP_0011",-1.44125827564908,7.19675965268085,146.351245496784,3.97609509012331e-15,4.51187390351742e-13,"ECP_0011"
"ECP_2496",1.00605394532898,7.38871535265886,137.307293993227,3.82763897598846e-15,4.51187390351742e-13,"ECP_2496"
"ECP_4168",1.23481255188159,9.46857626605364,141.896746858087,3.91313436045353e-15,4.51187390351742e-13,"ECP_4168"
"ECP_3627",0.91857955778779,8.1750001733835,133.289620648494,6.29664781224422e-15,6.97084985848207e-13,"ECP_3627"
"ECP_0055",0.85732731197634,7.61826362950773,132.032837002552,7.37476696657285e-15,7.97001601458909e-13,"ECP_0055"
"ECP_4181",0.820735947779419,7.13827377803701,129.202236738985,1.0572272612294e-14,1.11598942760935e-12,"ECP_4181"
"ECP_0357",1.63221809692173,5.62800868725289,129.187139123338,1.54257978044915e-14,1.56110601626266e-12,"ECP_0357"
"ECP_4373",0.674583850410772,9.0566976215707,126.256999199336,1.54769267970521e-14,1.56110601626266e-12,"ECP_4373"
"ECP_0391",-1.08392084028115,7.7506670674435,124.527865989667,1.94182329921577e-14,1.91607303372617e-12,"ECP_0391"
"ECP_0523",1.77579326530239,11.2959135475793,147.42808314051,4.04505412438694e-14,3.90648950438135e-12,"ECP_0523"
"ECP_1481",0.841415735277012,9.77335967270632,114.556750923869,7.53451317842116e-14,7.12482402434451e-12,"ECP_1481"
"ECP_3280",1.04851458451096,8.40891978906348,114.072736731782,8.46126091066102e-14,7.83789046397763e-12,"ECP_3280"
"ECP_1775",-0.693194345681277,10.1812929885982,111.831446292003,1.10793715270184e-13,1.00578534722273e-11,"ECP_1775"
"ECP_1326",-0.820087786904933,6.35401158509198,111.293141158806,1.19658005635012e-13,1.0649562501516e-11,"ECP_1326"
"ECP_3511",1.79347916318355,5.62844725994499,123.117854996241,1.5552801412182e-13,1.35758010788258e-11,"ECP_3511"
"ECP_0048",0.666414457610018,8.39875084547107,106.811742750232,2.29536516685842e-13,1.96578537591894e-11,"ECP_0048"
"ECP_1545",1.6473301841399,4.76595712812534,105.606451992428,2.74405403739622e-13,2.26597781479143e-11,"ECP_1545"
"ECP_2941",0.832739022402998,8.52066989446979,105.602341840453,2.7457320954732e-13,2.26597781479143e-11,"ECP_2941"
"ECP_0135",1.19142083993853,7.63457841662691,111.871002533186,3.00747733842526e-13,2.43766779269862e-11,"ECP_0135"
"ECP_0808",0.921951038624238,6.01710433426716,103.995236298299,3.49173111101481e-13,2.78052061629758e-11,"ECP_0808"
"ECP_1201",1.22955871592119,6.66868550885119,107.23727246234,4.14602925261795e-13,3.24462530648843e-11,"ECP_1201"
"ECP_3043",-1.41642032959771,4.40743021237996,102.331842433029,4.49049144044444e-13,3.45463400816565e-11,"ECP_3043"
"ECP_2280",1.20270209152492,6.51895432354925,105.276441143536,4.63485408578785e-13,3.49532000894757e-11,"ECP_2280"
"ECP_3038",-1.34801420345936,4.55696486555659,102.035999780459,4.69738974544617e-13,3.49532000894757e-11,"ECP_3038"
"ECP_0689",0.718503424524839,8.30872072766922,100.053367392948,6.36800008672644e-13,4.66199232155667e-11,"ECP_0689"
"ECP_0053",-0.708018809405533,7.34016456613282,99.8729194495083,6.54819396140651e-13,4.71781783981335e-11,"ECP_0053"
"ECP_1435",1.12426951959188,6.66181266473803,101.241896228938,6.73110193974186e-13,4.7738237038263e-11,"ECP_1435"
"ECP_0865",1.32439894066987,8.5767978118754,114.487186724815,7.0811127962771e-13,4.94479553573873e-11,"ECP_0865"
