"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1326",-2.36030238726337,6.35401158509198,776.074191892753,1.18079460042657e-29,5.35962669133621e-26,"ECP_1326"
"ECP_3157",-2.9172457658883,11.2915871831295,726.16660899309,4.7300918644145e-29,1.07349434862887e-25,"ECP_3157"
"ECP_1514",1.99646196639687,9.4291172044932,368.07849309249,1.03754734523578e-22,1.56980913334173e-19,"ECP_1514"
"ECP_4492",1.16437600894843,10.686033629164,299.846405022708,2.63644165994823e-21,2.99170217362626e-18,"ECP_4492"
"ECP_0940",-3.13366866153305,8.00915050057241,407.112167903893,8.95768468273384e-21,8.13178615498578e-18,"ECP_0940"
"ECP_1124",1.0204850737009,8.8251701899146,275.270196093996,1.3617543808017e-20,1.03016718907648e-17,"ECP_1124"
"ECP_3282",0.993449076981789,8.84030591058028,270.704250891193,1.87339577182881e-20,1.21476334404728e-17,"ECP_3282"
"ECP_1125",1.08915119134872,8.93894181483331,226.589701376001,5.31580642786504e-19,2.69400531251549e-16,"ECP_1125"
"ECP_3279",1.19822198231723,8.6355145678679,226.530332394557,5.34171575515298e-19,2.69400531251549e-16,"ECP_3279"
"ECP_4180",1.01371437300325,8.83651686649053,215.037951760359,1.39785020454059e-18,6.34484207840972e-16,"ECP_4180"
"ECP_0855",0.940937332760532,8.05676602185962,210.475624741554,2.07252990569659e-18,8.55201203814258e-16,"ECP_0855"
"ECP_2574",1.32408772897037,8.68979264133665,202.803466703665,4.08504588867799e-18,1.54516860739245e-15,"ECP_2574"
"ECP_2575",1.60727271348532,9.12730855874492,214.249456790462,6.59063436755508e-18,2.30114533802558e-15,"ECP_2575"
"ECP_2214",1.53982344748442,7.44032550246681,201.28246205589,7.87067110234804e-18,2.55178400953984e-15,"ECP_2214"
"ECP_3248",1.80291678836257,6.12057964173869,195.674570333257,1.30027060360073e-17,3.9346188464958e-15,"ECP_3248"
"ECP_1552",1.19447834229677,8.29064053807111,184.60095914301,2.23323276603163e-17,6.33540220313598e-15,"ECP_1552"
"ECP_2895",0.980814454779415,9.01211063138183,174.179943791343,6.28585879877143e-17,1.67832429927197e-14,"ECP_2895"
"ECP_0823",0.896339375981775,7.28349291610252,166.237159966976,1.43108106976891e-16,3.60870943093393e-14,"ECP_0823"
"ECP_2453",1.42676420416956,7.17454583067973,165.956934939614,1.98533088768855e-16,4.74285099958859e-14,"ECP_2453"
"ECP_2562",1.08096469128742,6.20654348305249,159.751422692487,2.86842581663869e-16,6.5098923908615e-14,"ECP_2562"
"ECP_0524",1.90666382611259,9.85678603344,192.141269394296,6.24803567007443e-16,1.35046828126037e-13,"ECP_0524"
"ECP_1481",0.973478786357084,9.77335967270632,148.446892338814,1.01833647742722e-15,2.10101330501915e-13,"ECP_1481"
"ECP_3280",1.2188551158237,8.40891978906348,148.570455582615,1.06651224714975e-15,2.10473873470118e-13,"ECP_3280"
"ECP_3045",-1.38223150227323,6.04812928944233,145.474916129691,1.4386689238369e-15,2.72088260220654e-13,"ECP_3045"
"ECP_3046",-1.3982828160504,6.78086503879054,147.577465434964,1.6418316368272e-15,2.98090951982347e-13,"ECP_3046"
"ECP_0128",-0.916351728362879,8.93721896082068,139.969339658105,2.76909811919486e-15,4.83420629347134e-13,"ECP_0128"
"ECP_1513",2.0730015444811,8.2745135532401,181.907845929531,3.56031034566831e-15,5.98527728110684e-13,"ECP_1513"
"ECP_3627",0.931872375231834,8.1750001733835,131.748239677084,7.64469431851788e-15,1.23925955399117e-12,"ECP_3627"
"ECP_3322",1.85565468835307,10.8140613721812,163.344284994289,8.60972673758153e-15,1.34757067799595e-12,"ECP_3322"
"ECP_0127",-1.09264558101669,8.9609101231917,129.813229709647,9.77659316677799e-15,1.47919854613351e-12,"ECP_0127"
"ECP_0523",1.90044334787656,11.2959135475793,162.196743622776,1.02461455339632e-14,1.50023401866642e-12,"ECP_0523"
"ECP_2484",0.832185979944327,8.13050114701201,127.93435836935,1.24471459010289e-14,1.76554985139906e-12,"ECP_2484"
