"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1590",2.36043790504335,5.48144135147558,68.9043825473755,1.4577534666799e-10,6.61674298526007e-07,"ECP_1590"
"ECP_3282",1.34558324528349,8.84030591058028,58.800214071683,1.18707851796185e-09,2.69407469651443e-06,"ECP_3282"
"ECP_1124",1.33750650313252,8.8251701899146,56.4260106247525,2.00350384299968e-09,3.03130131445851e-06,"ECP_1124"
"ECP_2643",1.99579139377574,7.24310531806378,54.3611727051859,3.1916261611089e-09,3.62169778631832e-06,"ECP_2643"
"ECP_2840",-1.48699957387098,7.52976276931172,49.6756621613565,9.54051561758561e-09,7.63348408875831e-06,"ECP_2840"
"ECP_3328",-1.96013586271949,7.5060836676299,49.4421088515951,1.00905275462767e-08,7.63348408875831e-06,"ECP_3328"
"ECP_4354",1.83057899013023,9.15081421060754,46.2549277309203,2.20051044663396e-08,1.4268738453245e-05,"ECP_4354"
"ECP_0855",1.24724666555799,8.05676602185962,44.0694486410437,3.81892604468481e-08,2.00459919293271e-05,"ECP_0855"
"ECP_1755",-1.5902649671945,6.00977117782336,43.3970558952663,4.53776971176996e-08,2.00459919293271e-05,"ECP_1755"
"ECP_2740",1.81920408200666,4.83191040123422,43.3656988092607,4.57456773456747e-08,2.00459919293271e-05,"ECP_2740"
"ECP_3924",-1.50697012045795,6.32132847958369,43.1326495059449,4.85802844729232e-08,2.00459919293271e-05,"ECP_3924"
"ECP_2484",1.35314950245813,8.13050114701201,40.4206075192753,9.90287513194795e-08,3.74576251865931e-05,"ECP_2484"
"ECP_1686",-1.80112203072834,6.44959095383935,39.7457672432929,1.18668107168799e-07,4.1433426033783e-05,"ECP_1686"
"ECP_0266",-1.10202655130025,9.32110398676593,38.9627913515674,1.46666074736785e-07,4.75512366593048e-05,"ECP_0266"
"ECP_2215",1.80805239305644,9.31712554274487,38.5594139561698,1.63766960687208e-07,4.95558823039491e-05,"ECP_2215"
"ECP_1552",1.54539038196431,8.29064053807111,36.5236598305795,2.87638851767879e-07,8.15995467609001e-05,"ECP_1552"
"ECP_4471",1.39507030790782,7.67311981794575,35.9245055135285,3.40505542900036e-07,9.09149799543096e-05,"ECP_4471"
"ECP_0558",-1.90310310831899,8.06826643191349,35.7944960314735,4.47950167569761e-07,0.000107346141949014,"ECP_0558"
"ECP_1326",-1.34713767754269,6.35401158509198,34.9071702904146,4.54859296101678e-07,0.000107346141949014,"ECP_1326"
"ECP_2552",-1.09798512982058,8.57613492008486,34.7708573672324,4.72994677017027e-07,0.000107346141949014,"ECP_2552"
"ECP_0048",1.09057520564457,8.39875084547107,32.8138333146815,8.3579332068137e-07,0.000180650756312987,"ECP_0048"
"ECP_1125",1.1939540546004,8.93894181483331,32.5196686623932,9.11669148712977e-07,0.000188093921182191,"ECP_1125"
"ECP_2485",1.01564227022284,9.32299340708015,32.2979919358312,9.73593806075012e-07,0.00019213662112063,"ECP_2485"
"ECP_4168",1.74730393310389,9.46857626605364,31.9948094984661,1.1929423369996e-06,0.00022561521948505,"ECP_4168"
"ECP_4492",1.0993684694376,10.686033629164,31.3129556833449,1.30698985650931e-06,0.00023729707834783,"ECP_4492"
"ECP_1927",-1.52933779122506,5.63158440427785,29.3337566045043,2.3917328119165e-06,0.000416815304084989,"ECP_1927"
"ECP_4181",1.1426457357151,7.13827377803701,29.2176129834081,2.47940365946127e-06,0.000416815304084989,"ECP_4181"
"ECP_2562",1.28726511208964,6.20654348305249,28.2685771405411,3.33506538304403e-06,0.000540637920487031,"ECP_2562"
"ECP_3250",1.27735341607988,10.8881188372366,27.7851314847863,3.88501815070362e-06,0.00060807232365668,"ECP_3250"
"ECP_0779",-1.29733662561981,7.23887203049935,27.4270699381712,4.35310810206344e-06,0.000658625255842199,"ECP_0779"
"ECP_2221",1.64996781689955,5.50452084716778,26.9774628613685,5.02593096422734e-06,0.000735893569246062,"ECP_2221"
"ECP_1309",-1.45872076870799,5.49188981479192,26.8521746352564,5.2322164210768e-06,0.000742157197977112,"ECP_1309"
"ECP_4755",1.11019044877517,5.99955292124383,26.7153016102355,5.46774565259915e-06,0.000752063561125683,"ECP_4755"
"ECP_0125",-1.08348968564346,10.3647140619923,26.2958093015572,6.26131754958985e-06,0.000812003438788238,"ECP_0125"
"ECP_3073",-1.2775976961862,6.88029449183875,26.3708592234617,6.11093858066622e-06,0.000812003438788238,"ECP_3073"
"ECP_1544",2.1203716096084,5.183198408396,26.0880238331897,6.69823111452091e-06,0.000812383272742266,"ECP_1544"
