"","logFC","logCPM","F","PValue","FDR","locus_tag"
"ECP_1514",2.16858252333837,9.4291172044932,539.39462286294,5.67536070626293e-26,2.57604622457274e-22,"ECP_1514"
"ECP_2453",2.2247373708788,7.17454583067973,510.451926994499,1.25083752421191e-25,2.83877576119892e-22,"ECP_2453"
"ECP_2574",1.82419542290446,8.68979264133665,485.420941043997,1.87852083264943e-25,2.84220201979859e-22,"ECP_2574"
"ECP_2575",2.18489356338997,9.12730855874492,495.602430581107,1.46184408087967e-24,1.6588275707782e-21,"ECP_2575"
"ECP_3648",2.16714623339123,5.89974825423638,409.751991013885,5.69355301370186e-24,5.16860742583855e-21,"ECP_3648"
"ECP_0940",-3.82713991595056,8.00915050057241,629.836256232771,7.33256363276366e-24,5.54708438818571e-21,"ECP_0940"
"ECP_0609",1.25276672602241,9.24808879376427,368.690828810172,4.64280501564658e-23,3.01052742371712e-20,"ECP_0609"
"ECP_2258",-1.37402701760962,12.1138432462173,324.481991295903,5.69885315249115e-22,3.23338680739467e-19,"ECP_2258"
"ECP_3046",-1.9628200688064,6.78086503879054,329.094585884609,8.44413160760289e-22,4.25865704076772e-19,"ECP_3046"
"ECP_3627",1.24831919562667,8.1750001733835,295.857362853844,3.4136090597387e-21,1.5494371522154e-18,"ECP_3627"
"ECP_3248",2.02558111717422,6.12057964173869,303.963101061309,4.02591664506681e-21,1.66123960472348e-18,"ECP_3248"
"ECP_1552",1.34932384436825,8.29064053807111,291.063662729074,4.67522031622991e-21,1.76840208461396e-18,"ECP_1552"
"ECP_3045",-1.82064414226629,6.04812928944233,286.990506938251,6.12927724490519e-21,2.1400607242019e-18,"ECP_3045"
"ECP_2562",1.26645263015902,6.20654348305249,272.162312804044,1.69111810725729e-20,5.48284649202916e-18,"ECP_2562"
"ECP_1326",-1.19009381252479,6.35401158509198,265.198833752688,2.76930849580555e-20,8.37992750830759e-18,"ECP_1326"
"ECP_4180",0.97158890028418,8.83651686649053,244.784797049582,1.25717779113219e-19,3.56645624621814e-17,"ECP_4180"
"ECP_3146",0.972080881117666,7.19137380090485,237.937759004593,2.13923100186255e-19,5.71174677497301e-17,"ECP_3146"
"ECP_2496",1.20581486157522,7.38871535265886,235.830626466598,2.52602491191674e-19,6.36979281955005e-17,"ECP_2496"
"ECP_3044",-1.63911006709398,4.72182487889538,231.249339905271,3.64142729204105e-19,8.69917814661807e-17,"ECP_3044"
"ECP_3502",1.65683190806958,5.28983803869409,228.101636228025,4.69839356374885e-19,1.0663004192928e-16,"ECP_3502"
"ECP_1435",1.54226780384014,6.66181266473803,227.069963977176,8.12609602111268e-19,1.7563976114205e-16,"ECP_1435"
"ECP_2296",1.8399845106677,8.16289591157178,270.004622858532,8.59934204441035e-19,1.77420061543539e-16,"ECP_2296"
"ECP_3336",1.00095169773137,7.10641249431468,217.849120075201,1.10045259106275e-18,2.17171926557992e-16,"ECP_3336"
"ECP_2214",1.44952800028714,7.44032550246681,222.179650348689,1.33556170733989e-18,2.52588107900657e-16,"ECP_2214"
"ECP_3047",-1.9604316180021,5.85343327862268,227.608143047248,1.74177003186059e-18,3.16235766984608e-16,"ECP_3047"
"ECP_1553",1.30303415996007,7.60388621505003,208.74235914989,2.41151108018667e-18,4.20994184344896e-16,"ECP_1553"
"ECP_2833",1.24819888793133,7.5366891927995,207.871447345916,2.60325808639376e-18,4.37636609412639e-16,"ECP_2833"
"ECP_2300",1.98854799099756,5.70325514333161,223.71310766889,3.07222119498067e-18,4.98029000143473e-16,"ECP_2300"
"ECP_1513",2.3321803787174,8.2745135532401,281.588330015242,5.58799607408242e-18,8.74617730353796e-16,"ECP_1513"
"ECP_1532",1.03950354537105,8.06351551889942,195.556060081514,7.90969069347491e-18,1.19673620192275e-15,"ECP_1532"
"ECP_0171",4.29872345500957,10.81753716706,304.225194216316,1.01422399049634e-17,1.46580346066692e-15,"ECP_0171"
"ECP_1481",0.989810523462157,9.77335967270632,192.684873030506,1.03339305444683e-17,1.46580346066692e-15,"ECP_1481"
"ECP_0865",1.74161107245578,8.5767978118754,238.092407432065,1.07487296076101e-17,1.47843889966491e-15,"ECP_0865"
"ECP_3145",2.87385360606065,8.04871886638643,290.481726015354,1.16601115907087e-17,1.55662489735961e-15,"ECP_3145"
"ECP_1157",-1.64098223792669,8.22387032830433,214.075041959133,1.91639784446123e-17,2.48529423314558e-15,"ECP_1157"
"ECP_2573",0.988421775553518,7.3811550942069,185.323936549309,2.08220031474359e-17,2.62530756350588e-15,"ECP_2573"
"ECP_0855",0.790313143308109,8.05676602185962,184.563924293242,2.24127133328394e-17,2.7494947518313e-15,"ECP_0855"
"ECP_0184",1.08227180445566,9.27002503144592,184.109513248051,2.34240263464876e-17,2.79793830491334e-15,"ECP_0184"
"ECP_3322",2.03711994885769,10.8140613721812,241.279852678885,2.45334136043608e-17,2.85531190641523e-15,"ECP_3322"
"ECP_0470",-1.05351144923848,7.38880360975278,180.955682512027,3.18976052926006e-17,3.61958076057785e-15,"ECP_0470"
"ECP_4181",0.887299506084979,7.13827377803701,180.150152766427,3.4539118013358e-17,3.82373308933248e-15,"ECP_4181"
"ECP_3049",-1.14705968883781,6.48025729442653,176.724854878747,4.86012530912396e-17,5.25240685193183e-15,"ECP_3049"
"ECP_1124",0.734114287049564,8.8251701899146,176.24512813732,5.10043475050875e-17,5.38392403082772e-15,"ECP_1124"
"ECP_2295",2.06103328480696,6.0413994037696,212.310800955968,5.99155000029657e-17,6.18082851166958e-15,"ECP_2295"
"ECP_0653",1.32542783043087,5.81500051012686,174.259784786316,6.23504893655947e-17,6.28908602734299e-15,"ECP_0653"
"ECP_2280",1.44894549099561,6.51895432354925,180.7401849245,6.90905041380027e-17,6.81743039744335e-15,"ECP_2280"
"ECP_2952",0.932751741273066,8.14650420656132,170.455400218411,9.2098279081193e-17,8.89434231381989e-15,"ECP_2952"
"ECP_3282",0.705227149893997,8.84030591058028,167.97335587025,1.19238453180554e-16,1.12754862288861e-14,"ECP_3282"
"ECP_0596",-1.43381217893122,5.63571043290274,165.435479244685,1.55768316794889e-16,1.41406477986401e-14,"ECP_0596"
"ECP_2482",1.14669769304256,6.2829281356833,165.526638139048,1.54271526354356e-16,1.41406477986401e-14,"ECP_2482"
