trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_1086,acpP,KFF-acpP Jvpna-21 ECP_1086,0,
ECP_4552,ECP_4552,KFF-acpP Jvpna-21 ECP_1086,0,
ECP_0065,araC,KFF-acpP Jvpna-21 ECP_1086 reverse,1,9
ECP_0066,ECP_0066,KFF-acpPscr JVpna-14 none,1,6
ECP_0116,ECP_0116,KFF-acpPscr JVpna-14 none,1,9
ECP_0215,yafD,KFF-acpPscr JVpna-14 none reverse,1,1
ECP_0225,ECP_0225,KFF-acpPscr JVpna-14 none,1,2
ECP_0304,ECP_0304,KFF-acpP Jvpna-21 ECP_1086,1,10
ECP_0353,ECP_0353,KFF-acpP Jvpna-21 ECP_1086,1,5
ECP_0353,ECP_0353,KFF-acpP Jvpna-21 ECP_1086 reverse,1,4
ECP_0420,ECP_0420,KFF-acpPscr JVpna-14 none,1,7
ECP_0548,ECP_0548,KFF-acpPscr JVpna-14 none reverse,1,9
ECP_0933,mukF,KFF-acpP Jvpna-21 ECP_1086,1,2
ECP_0936,ycbB,KFF-acpP Jvpna-21 ECP_1086,1,10
ECP_0936,ycbB,KFF-acpP Jvpna-21 ECP_1086 reverse,1,9
ECP_0949,ECP_0949,KFF-acpP Jvpna-21 ECP_1086,1,9
ECP_0956,pqiB,KFF-acpP Jvpna-21 ECP_1086,1,5
ECP_1086,acpP,KFF-acpP Jvpna-21 ECP_1086 reverse,1,10
ECP_1273,narK,KFF-acpP Jvpna-21 ECP_1086 reverse,1,7
ECP_1382,ycjZ,KFF-acpPscr JVpna-14 none,1,7
ECP_1408,ynbE,KFF-acpP Jvpna-21 ECP_1086,1,6
ECP_1493,ECP_1493,KFF-acpPscr JVpna-14 none,1,8
ECP_1537,ECP_1537,KFF-acpPscr JVpna-14 none,1,4
ECP_1608,cfa,KFF-acpPscr JVpna-14 none reverse,1,7
ECP_1665,ECP_1665,KFF-acpP Jvpna-21 ECP_1086 reverse,1,5
ECP_1829,ECP_1829,KFF-acpPscr JVpna-14 none reverse,1,7
ECP_1840,ECP_1840,KFF-acpP Jvpna-21 ECP_1086,1,10
ECP_1890,ECP_1890,KFF-acpP Jvpna-21 ECP_1086,1,1
ECP_1890,ECP_1890,KFF-acpP Jvpna-21 ECP_1086 reverse,1,10
