trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_0097,ftsZ,KFF-ftsZ JVpna-41 ECP_0097,0,
ECP_3033,ECP_3033,KFF-ftsZ JVpna-41 ECP_0097 reverse,0,
ECP_0103,ECP_0103,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,7
ECP_0532,ybaB,KFF-ftsZ JVpna-41 ECP_0097,1,1
ECP_0660,ECP_0660,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,1
ECP_0693,ECP_0693,KFF-ftsZ JVpna-41 ECP_0097,1,8
ECP_0732,ECP_0732,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,1
ECP_1336,ECP_1336,KFF-ftsZ JVpna-41 ECP_0097,1,2
ECP_1483,ECP_1483,KFF-ftsZ JVpna-41 ECP_0097,1,10
ECP_1621,NA,KFF-ftsZ JVpna-41 ECP_0097,1,4
ECP_1736,yeaL,KFF-ftsZ JVpna-41 ECP_0097,1,3
ECP_1738,yeaN,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,8
ECP_1754,ECP_1754,KFF-ftsZ JVpna-41 ECP_0097,1,3
ECP_2378,ECP_2378,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,5
ECP_2404,lpxL,KFF-ftsZ JVpna-41 ECP_0097,1,10
ECP_2570,ECP_2570,KFF-ftsZ JVpna-41 ECP_0097,1,2
ECP_2611,ECP_2611,KFF-ftsZ JVpna-41 ECP_0097,1,3
ECP_2616,recN,KFF-ftsZ JVpna-41 ECP_0097,1,9
ECP_2716,ygbL,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,5
ECP_2735,iap,KFF-ftsZ JVpna-41 ECP_0097,1,10
ECP_2879,ECP_2879,KFF-ftsZ JVpna-41 ECP_0097,1,4
ECP_2907,ECP_2907,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,1
ECP_3203,ECP_3203,KFF-ftsZ JVpna-41 ECP_0097,1,2
ECP_3354,fis,KFF-ftsZ JVpna-41 ECP_0097,1,9
ECP_3446,prkB,KFF-ftsZ JVpna-41 ECP_0097,1,8
ECP_3751,ECP_3751,KFF-ftsZ JVpna-41 ECP_0097,1,10
ECP_3757,ECP_3757,KFF-ftsZ JVpna-41 ECP_0097,1,1
ECP_3890,ECP_3890,KFF-ftsZ JVpna-41 ECP_0097 reverse,1,1
