trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_4268,dnaB,KFF-dnaB JVpna-40 ECP_4268,0,
ECP_0179,pyrH,KFF-dnaB JVpna-40 ECP_4268 reverse,2,4;7
ECP_1048,yceA,KFF-dnaB JVpna-40 ECP_4268,2,3;7
ECP_1216,ECP_1216,KFF-dnaB JVpna-40 ECP_4268,2,2;10
ECP_1217,ECP_1217,KFF-dnaB JVpna-40 ECP_4268,2,1;10
ECP_1624,ECP_1624,KFF-dnaB JVpna-40 ECP_4268 reverse,2,3;9
ECP_1808,ECP_1808,KFF-dnaB JVpna-40 ECP_4268,2,1;2
ECP_2391,dsdA,KFF-dnaB JVpna-40 ECP_4268,2,8;10
ECP_2405,ECP_2405,KFF-dnaB JVpna-40 ECP_4268,2,2;9
ECP_2935,metK,KFF-dnaB JVpna-40 ECP_4268,2,2;10
ECP_3923,ECP_3923,KFF-dnaB JVpna-40 ECP_4268 reverse,2,4;7
ECP_4387,groL,KFF-dnaB JVpna-40 ECP_4268,2,2;3
ECP_4590,ECP_4590,KFF-dnaB JVpna-40 ECP_4268,2,8;10
ECP_4779,trpR,KFF-dnaB JVpna-40 ECP_4268,2,9;10
