trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_4195,nusG,KFF-nusG JVpna-47 ECP_4195,0,
ECP_1458,ECP_1458,KFF-nusG JVpna-47 ECP_4195,1,5
ECP_1755,pabB,KFF-nusG JVpna-47 ECP_4195 reverse,1,2
ECP_2479,ECP_2479,KFF-nusG JVpna-47 ECP_4195 reverse,1,5
ECP_2741,NA,KFF-nusG JVpna-47 ECP_4195,1,4
ssrS,ssrS,KFF-nusG JVpna-47 ECP_4195,1,10
ECP_3020,ECP_3020,KFF-nusG JVpna-47 ECP_4195,1,5
ECP_3983,wzxE,KFF-nusG JVpna-47 ECP_4195,1,5
ECP_4394,sugE,KFF-nusG JVpna-47 ECP_4195,1,5
ECP_4424,rnr,KFF-nusG JVpna-47 ECP_4195,1,2
ECP_4483,ECP_4483,KFF-nusG JVpna-47 ECP_4195,1,9
ECP_0016,ECP_0016,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;10
ECP_0025,lspA,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;5
ECP_0067,ECP_0067,KFF-nusG JVpna-47 ECP_4195,2,1;2
ECP_0075,ECP_0075,KFF-nusG JVpna-47 ECP_4195,2,1;4
ECP_0095,ftsQ,KFF-nusG JVpna-47 ECP_4195,2,3;5
ECP_0157,ECP_0157,KFF-nusG JVpna-47 ECP_4195,2,3;5
ECP_0184,rseP,KFF-nusG JVpna-47 ECP_4195,2,6;8
ECP_0196,tilS,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;8
ECP_0211,NA,KFF-nusG JVpna-47 ECP_4195,2,5;7
ECP_0218,ECP_0218,KFF-nusG JVpna-47 ECP_4195,2,7;10
ECP_0266,ECP_0266,KFF-nusG JVpna-47 ECP_4195,2,5;6
ECP_0296,ECP_0296,KFF-nusG JVpna-47 ECP_4195,2,5;10
ECP_0386,ECP_0386,KFF-nusG JVpna-47 ECP_4195,2,1;9
ECP_0452,ECP_0452,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;6
ECP_0493,ECP_0493,KFF-nusG JVpna-47 ECP_4195 reverse,2,8;9
ECP_0498,clpP,KFF-nusG JVpna-47 ECP_4195,2,2;5
ECP_0513,ECP_0513,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;10
ECP_0543,ECP_0543,KFF-nusG JVpna-47 ECP_4195,2,1;10
ECP_0635,ECP_0635,KFF-nusG JVpna-47 ECP_4195,2,1;3
ECP_0713,ECP_0713,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;6
ECP_4728,NA,KFF-nusG JVpna-47 ECP_4195,2,1;6
ECP_0904,ftsK,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;9
ECP_0937,ycbK,KFF-nusG JVpna-47 ECP_4195 reverse,2,8;10
ECP_0972,ECP_0972,KFF-nusG JVpna-47 ECP_4195 reverse,2,5;7
ECP_0983,ECP_0983,KFF-nusG JVpna-47 ECP_4195,2,1;4
ECP_1020,ECP_1020,KFF-nusG JVpna-47 ECP_4195,2,7;10
ECP_4726,NA,KFF-nusG JVpna-47 ECP_4195,2,1;6
ECP_1114,cobB,KFF-nusG JVpna-47 ECP_4195 reverse,2,5;7
ECP_1119,ECP_1119,KFF-nusG JVpna-47 ECP_4195,2,4;7
ECP_1137,ECP_1137,KFF-nusG JVpna-47 ECP_4195,2,6;10
ECP_1164,ECP_1164,KFF-nusG JVpna-47 ECP_4195,2,1;9
ECP_1178,ECP_1178,KFF-nusG JVpna-47 ECP_4195 reverse,2,2;4
ECP_1179,GJ12_01675,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;9
ECP_1273,narK,KFF-nusG JVpna-47 ECP_4195,2,2;6
ECP_1278,ECP_1278,KFF-nusG JVpna-47 ECP_4195,2,1;8
ECP_1367,ycjS,KFF-nusG JVpna-47 ECP_4195,2,3;7
ECP_1389,ECP_1389,KFF-nusG JVpna-47 ECP_4195,2,8;9
ECP_1409,ydbL,KFF-nusG JVpna-47 ECP_4195,2,2;3
ECP_1450,ECP_1450,KFF-nusG JVpna-47 ECP_4195,2,2;5
ECP_1458,ECP_1458,KFF-nusG JVpna-47 ECP_4195,2,7;10
ECP_1598,rnt,KFF-nusG JVpna-47 ECP_4195,2,1;3
ECP_1618,ECP_1618,KFF-nusG JVpna-47 ECP_4195,2,1;3
ECP_1694,ECP_1694,KFF-nusG JVpna-47 ECP_4195 reverse,2,9;10
ECP_1712,ECP_1712,KFF-nusG JVpna-47 ECP_4195,2,1;2
ECP_1726,ECP_1726,KFF-nusG JVpna-47 ECP_4195,2,1;10
ECP_1735,yeaK,KFF-nusG JVpna-47 ECP_4195,2,5;9
ECP_1765,ECP_1765,KFF-nusG JVpna-47 ECP_4195,2,2;6
ryeA,ryeA,KFF-nusG JVpna-47 ECP_4195 reverse,2,2;10
ryeA,ryeA,KFF-nusG JVpna-47 ECP_4195 reverse,2,3;6
ECP_1809,ECP_1809,KFF-nusG JVpna-47 ECP_4195,2,5;9
ECP_1839,ECP_1839,KFF-nusG JVpna-47 ECP_4195,2,3;5
ECP_1894,ECP_1894,KFF-nusG JVpna-47 ECP_4195,2,3;9
ECP_2027,ECP_2027,KFF-nusG JVpna-47 ECP_4195 reverse,2,5;6
ECP_2125,yegQ,KFF-nusG JVpna-47 ECP_4195,2,5;6
ECP_2434,ECP_2434,KFF-nusG JVpna-47 ECP_4195,2,9;10
ECP_2491,ECP_2491,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;10
ECP_2512,ECP_2512,KFF-nusG JVpna-47 ECP_4195,2,4;5
ECP_2587,pssA,KFF-nusG JVpna-47 ECP_4195,2,4;10
ECP_4715,NA,KFF-nusG JVpna-47 ECP_4195,2,5;7
ECP_2719,ECP_2719,KFF-nusG JVpna-47 ECP_4195,2,1;4
ECP_2737,ECP_2737,KFF-nusG JVpna-47 ECP_4195,2,1;2
ECP_2829,ECP_2829,KFF-nusG JVpna-47 ECP_4195,2,3;8
ECP_2844,mutH,KFF-nusG JVpna-47 ECP_4195,2,1;5
ECP_2968,ECP_2968,KFF-nusG JVpna-47 ECP_4195,2,2;6
ECP_3077,ECP_3077,KFF-nusG JVpna-47 ECP_4195,2,1;6
ECP_3169,ygjI,KFF-nusG JVpna-47 ECP_4195,2,2;10
ECP_3195,yqjE,KFF-nusG JVpna-47 ECP_4195 reverse,2,5;7
ECP_3196,yqjK,KFF-nusG JVpna-47 ECP_4195 reverse,2,2;6
ECP_3245,ECP_3245,KFF-nusG JVpna-47 ECP_4195,2,5;9
ECP_3277,ECP_3277,KFF-nusG JVpna-47 ECP_4195,2,3;10
ECP_3342,ECP_3342,KFF-nusG JVpna-47 ECP_4195,2,1;5
ECP_3347,ECP_3347,KFF-nusG JVpna-47 ECP_4195,2,4;10
ECP_3360,acrF,KFF-nusG JVpna-47 ECP_4195,2,5;9
ECP_4706,NA,KFF-nusG JVpna-47 ECP_4195,2,5;9
ECP_4705,NA,KFF-nusG JVpna-47 ECP_4195,2,5;7
ECP_3437,ECP_3437,KFF-nusG JVpna-47 ECP_4195,2,1;9
ECP_3450,ECP_3450,KFF-nusG JVpna-47 ECP_4195,2,1;9
ECP_3462,ECP_3462,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;8
ECP_3545,ECP_3545,KFF-nusG JVpna-47 ECP_4195,2,4;5
ECP_3545,ECP_3545,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;7
ECP_3570,sfp,KFF-nusG JVpna-47 ECP_4195,2,5;10
ECP_3629,ECP_3629,KFF-nusG JVpna-47 ECP_4195,2,4;8
ECP_3650,ECP_3650,KFF-nusG JVpna-47 ECP_4195 reverse,2,3;5
ECP_3700,ECP_3700,KFF-nusG JVpna-47 ECP_4195,2,2;8
ECP_3718,kbl,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;8
ECP_3741,ECP_3741,KFF-nusG JVpna-47 ECP_4195,2,2;8
ECP_3835,ECP_3835,KFF-nusG JVpna-47 ECP_4195 reverse,2,2;9
ECP_3901,ECP_3901,KFF-nusG JVpna-47 ECP_4195,2,4;5
ECP_3901,ECP_3901,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;7
ECP_3916,yieI,KFF-nusG JVpna-47 ECP_4195,2,1;5
ECP_3926,ECP_3926,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;10
ECP_3956,NA,KFF-nusG JVpna-47 ECP_4195,2,5;7
ECP_4098,ECP_4098,KFF-nusG JVpna-47 ECP_4195 reverse,2,6;8
ECP_4140,ECP_4140,KFF-nusG JVpna-47 ECP_4195,2,5;9
ECP_4156,katG,KFF-nusG JVpna-47 ECP_4195 reverse,2,9;10
ECP_4203,ECP_4203,KFF-nusG JVpna-47 ECP_4195,2,1;10
ECP_4220,NA,KFF-nusG JVpna-47 ECP_4195,2,5;7
ECP_4300,ECP_4300,KFF-nusG JVpna-47 ECP_4195 reverse,2,4;8
ECP_4397,ECP_4397,KFF-nusG JVpna-47 ECP_4195,2,9;10
ECP_4399,ECP_4399,KFF-nusG JVpna-47 ECP_4195,2,9;10
