trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_0066,ECP_0066,KFF-acpPscr JVpna-14 none,1,6
ECP_0116,ECP_0116,KFF-acpPscr JVpna-14 none,1,9
ECP_0215,yafD,KFF-acpPscr JVpna-14 none reverse,1,1
ECP_0225,ECP_0225,KFF-acpPscr JVpna-14 none,1,2
ECP_0420,ECP_0420,KFF-acpPscr JVpna-14 none,1,7
ECP_0548,ECP_0548,KFF-acpPscr JVpna-14 none reverse,1,9
ECP_1382,ycjZ,KFF-acpPscr JVpna-14 none,1,7
ECP_1493,ECP_1493,KFF-acpPscr JVpna-14 none,1,8
ECP_1537,ECP_1537,KFF-acpPscr JVpna-14 none,1,4
ECP_1608,cfa,KFF-acpPscr JVpna-14 none reverse,1,7
ECP_1829,ECP_1829,KFF-acpPscr JVpna-14 none reverse,1,7
ECP_2333,ECP_2333,KFF-acpPscr JVpna-14 none reverse,1,8
ECP_2444,ECP_2444,KFF-acpPscr JVpna-14 none,1,6
ECP_2490,ECP_2490,KFF-acpPscr JVpna-14 none reverse,1,8
ECP_2538,suhB,KFF-acpPscr JVpna-14 none reverse,1,6
ECP_2811,ECP_2811,KFF-acpPscr JVpna-14 none reverse,1,2
ECP_2983,ECP_2983,KFF-acpPscr JVpna-14 none,1,4
ECP_3038,ECP_3038,KFF-acpPscr JVpna-14 none,1,5
ECP_3199,yhaH,KFF-acpPscr JVpna-14 none reverse,1,7
ECP_3536,yhhY,KFF-acpPscr JVpna-14 none,1,9
ECP_3559,yhhL,KFF-acpPscr JVpna-14 none,1,5
ECP_3592,ECP_3592,KFF-acpPscr JVpna-14 none,1,7
ECP_3738,dut,KFF-acpPscr JVpna-14 none,1,6
ECP_4108,fdhD,KFF-acpPscr JVpna-14 none,1,5
ECP_0032,carB,KFF-acpPscr JVpna-14 none reverse,2,4;6
ECP_0037,ECP_0037,KFF-acpPscr JVpna-14 none reverse,2,2;3
ECP_0049,ccdA,KFF-acpPscr JVpna-14 none,2,6;7
ECP_0060,ECP_0060,KFF-acpPscr JVpna-14 none reverse,2,3;4
ECP_0118,ECP_0118,KFF-acpPscr JVpna-14 none,2,7;10
ECP_0151,ECP_0151,KFF-acpPscr JVpna-14 none reverse,2,2;8
ECP_0185,bamA,KFF-acpPscr JVpna-14 none,2,4;9
ECP_0230,ECP_0230,KFF-acpPscr JVpna-14 none reverse,2,6;7
ECP_0297,ECP_0297,KFF-acpPscr JVpna-14 none,2,3;6
ECP_0308,ECP_0308,KFF-acpPscr JVpna-14 none reverse,2,3;8
ECP_0326,ECP_0326,KFF-acpPscr JVpna-14 none,2,3;7
ECP_0368,ECP_0368,KFF-acpPscr JVpna-14 none,2,5;6
ECP_0374,lutA,KFF-acpPscr JVpna-14 none reverse,2,4;7
ECP_0394,NA,KFF-acpPscr JVpna-14 none reverse,2,6;9
ECP_0471,ECP_0471,KFF-acpPscr JVpna-14 none,2,5;8
ECP_0532,ybaB,KFF-acpPscr JVpna-14 none reverse,2,1;7
ECP_0532,ybaB,KFF-acpPscr JVpna-14 none reverse,2,2;6
ECP_0540,ECP_0540,KFF-acpPscr JVpna-14 none,2,3;5
ECP_0556,ybbL,KFF-acpPscr JVpna-14 none reverse,2,7;8
ECP_0559,ECP_0559,KFF-acpPscr JVpna-14 none,2,6;7
ECP_0568,gcl,KFF-acpPscr JVpna-14 none reverse,2,2;4
