query_name	seed_eggNOG_ortholog	seed_ortholog_evalue	seed_ortholog_score	best_tax_level	Preferred_name	GOs	EC	KEGG_ko	KEGG_Pathway	KEGG_Module	KEGG_Reaction	KEGG_rclass	BRITE	KEGG_TC	CAZy	BiGG_Reaction					
ECP_0001					thrL																
ECP_0002	316407.85674276	0	1600.5	Escherichia	thrA	GO:0003674,GO:0003824,GO:0004072,GO:0004412,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006553,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009070,GO:0009085,GO:0009089,GO:0009090,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016491,GO:0016614,GO:0016616,GO:0016740,GO:0016772,GO:0016774,GO:0019202,GO:0019752,GO:0043436,GO:0043648,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0046451,GO:0055114,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	1.1.1.3,2.7.2.4	ko:K00003,ko:K00928,ko:K12524,ko:K12525	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01210,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01210,map01230	M00016,M00017,M00018,M00033,M00525,M00526,M00527	R00480,R01773,R01775	RC00002,RC00043,RC00087	ko00000,ko00001,ko00002,ko01000			iECDH1ME8569_1439.ECDH1ME8569_0002,iECED1_1282.ECED1_4739,iEcDH1_1363.EcDH1_3594,iSFV_1184.SFV_0001,iUMNK88_1353.UMNK88_4778	Bacteria	1MW3H@1224,1RN1G@1236,3XN2A@561,COG0460@1,COG0460@2,COG0527@1,COG0527@2	NA|NA|NA	E	homoserine dehydrogenase I
ECP_0003	362663.ECP_0003	6.8E-178	629.8	Escherichia	thrB	GO:0000096,GO:0000097,GO:0003674,GO:0003824,GO:0004413,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006555,GO:0006566,GO:0006790,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009069,GO:0009086,GO:0009088,GO:0009092,GO:0009987,GO:0016053,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019202,GO:0019752,GO:0040007,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044272,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	2.7.1.39	ko:K00872	ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230	M00018	R01771	RC00002,RC00017	ko00000,ko00001,ko00002,ko01000			iECSE_1348.ECSE_0003,iJN678.thrB,iLJ478.TM0545,iSB619.SA_RS06620	Bacteria	1MW8I@1224,1RMYR@1236,3XN01@561,COG0083@1,COG0083@2	NA|NA|NA	F	Catalyzes the ATP-dependent phosphorylation of L- homoserine to L-homoserine phosphate
ECP_0004	155864.EDL933_0004	1.6E-246	858.2	Escherichia	thrC	GO:0003674,GO:0003824,GO:0004795,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006082,GO:0006520,GO:0006566,GO:0006807,GO:0008150,GO:0008152,GO:0008652,GO:0009058,GO:0009066,GO:0009067,GO:0009088,GO:0009987,GO:0016053,GO:0016829,GO:0016835,GO:0016838,GO:0019752,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044281,GO:0044283,GO:0044424,GO:0044444,GO:0044464,GO:0046394,GO:0071704,GO:1901564,GO:1901566,GO:1901576,GO:1901605,GO:1901607	4.2.3.1	ko:K01733	ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230	M00018	R01466,R05086	RC00017,RC00526	ko00000,ko00001,ko00002,ko01000			iLF82_1304.LF82_2261,iNRG857_1313.NRG857_00025	Bacteria	1MUWQ@1224,1RQ0H@1236,3XP31@561,COG0498@1,COG0498@2	NA|NA|NA	E	Catalyzes the gamma-elimination of phosphate from L- phosphohomoserine and the beta-addition of water to produce L- threonine. To a lesser extent, is able to slowly catalyze the deamination of L-threonine into alpha-ketobutyrate and that of L- serine and 3-chloroalanine into pyruvate. Is also able to rapidly convert vinylglycine to threonine, which proves that the pyridoxal p-quinonoid of vinylglycine is an intermediate in the TS reaction
ECP_0006	362663.ECP_0006	8.2E-34	149.4	Escherichia	yaaX												Bacteria	1N30G@1224,1SAKU@1236,2B58A@1,32WK2@2,3XRGA@561	NA|NA|NA	S	Protein of unknown function (DUF2502)
ECP_0009	199310.c0012	2.5E-175	621.3	Escherichia	tal	GO:0003674,GO:0003824,GO:0004801,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006081,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009052,GO:0009117,GO:0009987,GO:0016740,GO:0016744,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0034641,GO:0044237,GO:0044238,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046496,GO:0051156,GO:0051186,GO:0055086,GO:0071704,GO:0072524,GO:1901135,GO:1901360,GO:1901564	2.2.1.2	ko:K00616,ko:K08313,ko:K08314	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230	M00004,M00007	R01827	RC00439,RC00604	ko00000,ko00001,ko00002,ko01000			iECH74115_1262.ECH74115_5407,iECSP_1301.ECSP_5016,iECs_1301.ECs4875,iG2583_1286.G2583_4758,iSBO_1134.SBO_0715,iZ_1308.Z5501	Bacteria	1MWQ8@1224,1RMS0@1236,3XM3G@561,COG0176@1,COG0176@2	NA|NA|NA	F	Transaldolase is important for the balance of metabolites in the pentose-phosphate pathway
ECP_0010	1440052.EAKF1_ch1414c	2.4E-104	384.8	Escherichia	mog	GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006163,GO:0006725,GO:0006732,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009116,GO:0009117,GO:0009119,GO:0009141,GO:0009144,GO:0009150,GO:0009199,GO:0009205,GO:0009259,GO:0009987,GO:0016740,GO:0016772,GO:0016779,GO:0018130,GO:0019538,GO:0019637,GO:0019693,GO:0032324,GO:0034641,GO:0042278,GO:0042802,GO:0043170,GO:0043545,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044281,GO:0044424,GO:0044444,GO:0044464,GO:0046039,GO:0046128,GO:0046483,GO:0051186,GO:0051188,GO:0051189,GO:0055086,GO:0061598,GO:0070566,GO:0071704,GO:0072521,GO:0090407,GO:1901068,GO:1901135,GO:1901360,GO:1901362,GO:1901564,GO:1901566,GO:1901576,GO:1901657	2.7.7.75,2.8.1.12	ko:K03635,ko:K03638,ko:K03831	ko00790,ko01100,ko04122,map00790,map01100,map04122		R09395,R09726	RC00002,RC02507	ko00000,ko00001,ko01000			iAPECO1_1312.APECO1_1969,iECABU_c1320.ECABU_c00100,iECED1_1282.ECED1_0009,iECNA114_1301.ECNA114_4653,iECP_1309.ECP_0010,iECS88_1305.ECS88_0010,iECSF_1327.ECSF_0009,iECUMN_1333.ECUMN_0010,iEcSMS35_1347.EcSMS35_0008,iLF82_1304.LF82_1379,iNRG857_1313.NRG857_00050,iUMN146_1321.UM146_22820	Bacteria	1R9W2@1224,1RMZM@1236,3XMRI@561,COG0521@1,COG0521@2	NA|NA|NA	F	Catalyzes the adenylation of molybdopterin as part of the biosynthesis of the molybdenum-cofactor
ECP_0011	7213.XP_004528661.1	3.6E-25	121.7	Diptera													Bacteria	38EJA@33154,3BABY@33208,3CT5K@33213,3SHSX@50557,41TN6@6656,44X5B@7147,COG0443@1,KOG0102@2759	NA|NA|NA	O	unfolded protein binding. It is involved in the biological process described with protein folding
ECP_0014	1440052.EAKF1_ch1410c	0	1211.1	Escherichia	dnaK	GO:0000166,GO:0000988,GO:0000989,GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005524,GO:0005575,GO:0005576,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0006457,GO:0006458,GO:0006950,GO:0006986,GO:0008144,GO:0008150,GO:0008270,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010033,GO:0010556,GO:0016020,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0016989,GO:0017076,GO:0017111,GO:0018995,GO:0019219,GO:0019222,GO:0020003,GO:0022607,GO:0030430,GO:0030554,GO:0031323,GO:0031326,GO:0032553,GO:0032555,GO:0032559,GO:0032991,GO:0033554,GO:0033643,GO:0033646,GO:0033655,GO:0034620,GO:0035639,GO:0035966,GO:0035967,GO:0036094,GO:0042221,GO:0043167,GO:0043168,GO:0043169,GO:0043226,GO:0043227,GO:0043230,GO:0043531,GO:0043656,GO:0043657,GO:0043933,GO:0044085,GO:0044183,GO:0044215,GO:0044216,GO:0044217,GO:0044421,GO:0044424,GO:0044444,GO:0044464,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051716,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0065010,GO:0070887,GO:0071310,GO:0071840,GO:0071944,GO:0080090,GO:0097159,GO:0097367,GO:0140110,GO:1901265,GO:1901363,GO:1903506,GO:2001141		ko:K04043	ko03018,ko04212,ko05152,map03018,map04212,map05152				ko00000,ko00001,ko03019,ko03029,ko03110,ko04147	1.A.33.1			Bacteria	1MVEN@1224,1RMDD@1236,3XM30@561,COG0443@1,COG0443@2	NA|NA|NA	O	Heat shock 70 kDa protein
ECP_0015	362663.ECP_0015	4.6E-184	650.6	Escherichia	dnaJ	GO:0000988,GO:0000989,GO:0003674,GO:0003756,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006457,GO:0006458,GO:0006725,GO:0006807,GO:0006950,GO:0008150,GO:0008152,GO:0008270,GO:0009058,GO:0009059,GO:0009266,GO:0009408,GO:0009628,GO:0009889,GO:0009987,GO:0010556,GO:0015035,GO:0015036,GO:0016020,GO:0016032,GO:0016043,GO:0016491,GO:0016667,GO:0016853,GO:0016860,GO:0016864,GO:0016989,GO:0019219,GO:0019222,GO:0022607,GO:0031323,GO:0031326,GO:0032991,GO:0034641,GO:0034645,GO:0042026,GO:0043167,GO:0043169,GO:0043170,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044424,GO:0044444,GO:0044464,GO:0046483,GO:0046872,GO:0046914,GO:0050789,GO:0050794,GO:0050896,GO:0051082,GO:0051084,GO:0051085,GO:0051087,GO:0051171,GO:0051252,GO:0051704,GO:0055114,GO:0060255,GO:0061077,GO:0065003,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0140096,GO:0140110,GO:1901360,GO:1901576,GO:1903506,GO:2001141		ko:K03686					ko00000,ko03029,ko03110				Bacteria	1MVMS@1224,1RNHY@1236,3XMY8@561,COG0484@1,COG0484@2	NA|NA|NA	O	ATP binding to DnaK triggers the release of the substrate protein, thus completing the reaction cycle. Several rounds of ATP-dependent interactions between DnaJ, DnaK and GrpE are required for fully efficient folding. Also involved, together with DnaK and GrpE, in the DNA replication of plasmids through activation of initiation proteins
