trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_0179,pyrH,KFF-pyrH JVpna-43 ECP_0179,0,
ECP_4605,ECP_4605,KFF-pyrH JVpna-43 ECP_0179,0,
ECP_0133,hpt,KFF-pyrH JVpna-43 ECP_0179 reverse,1,2
ECP_0589,ECP_0589,KFF-pyrH JVpna-43 ECP_0179,1,3
ECP_0832,ybiR,KFF-pyrH JVpna-43 ECP_0179,1,8
ECP_1094,ECP_1094,KFF-pyrH JVpna-43 ECP_0179 reverse,1,9
ECP_1368,ycjT,KFF-pyrH JVpna-43 ECP_0179,1,8
ECP_1551,ECP_1551,KFF-pyrH JVpna-43 ECP_0179 reverse,1,5
ECP_1622,ECP_1622,KFF-pyrH JVpna-43 ECP_0179 reverse,1,5
ECP_1773,ECP_1773,KFF-pyrH JVpna-43 ECP_0179 reverse,1,5
ECP_1917,ECP_1917,KFF-pyrH JVpna-43 ECP_0179 reverse,1,9
ECP_1972,ECP_1972,KFF-pyrH JVpna-43 ECP_0179,1,3
ECP_1981,ECP_1981,KFF-pyrH JVpna-43 ECP_0179,1,1
ECP_2184,yeiS,KFF-pyrH JVpna-43 ECP_0179,1,8
ECP_2997,ECP_2997,KFF-pyrH JVpna-43 ECP_0179,1,10
ECP_3192,mzrA,KFF-pyrH JVpna-43 ECP_0179,1,6
ECP_3198,yqjG,KFF-pyrH JVpna-43 ECP_0179,1,6
ECP_3530,ECP_3530,KFF-pyrH JVpna-43 ECP_0179,1,8
ECP_3787,ECP_3787,KFF-pyrH JVpna-43 ECP_0179,1,8
ECP_4133,ECP_4133,KFF-pyrH JVpna-43 ECP_0179,1,2
ECP_4179,ECP_4179,KFF-pyrH JVpna-43 ECP_0179,1,3
ECP_4274,ECP_4274,KFF-pyrH JVpna-43 ECP_0179,1,2
ECP_4321,ECP_4321,KFF-pyrH JVpna-43 ECP_0179 reverse,1,8
ECP_4341,ECP_4341,KFF-pyrH JVpna-43 ECP_0179,1,5
ECP_4419,hflK,KFF-pyrH JVpna-43 ECP_0179,1,2
ECP_4462,cycA,KFF-pyrH JVpna-43 ECP_0179,1,2
ECP_4542,ECP_4542,KFF-pyrH JVpna-43 ECP_0179,1,1
ECP_0039,ECP_0039,KFF-pyrH JVpna-43 ECP_0179 reverse,2,4;5
ECP_0039,ECP_0039,KFF-pyrH JVpna-43 ECP_0179,2,1;6
ECP_0071,ECP_0071,KFF-pyrH JVpna-43 ECP_0179 reverse,2,4;10
ECP_0076,ECP_0076,KFF-pyrH JVpna-43 ECP_0179,2,4;8
ECP_0122,aceF,KFF-pyrH JVpna-43 ECP_0179,2,5;6
ECP_0136,yadH,KFF-pyrH JVpna-43 ECP_0179,2,2;8
ECP_0138,yadE,KFF-pyrH JVpna-43 ECP_0179 reverse,2,1;9
ECP_0139,ECP_0139,KFF-pyrH JVpna-43 ECP_0179 reverse,2,5;10
ECP_0155,ECP_0155,KFF-pyrH JVpna-43 ECP_0179,2,3;10
ECP_0159,ECP_0159,KFF-pyrH JVpna-43 ECP_0179,2,2;5
tff,tff,KFF-pyrH JVpna-43 ECP_0179 reverse,2,5;10
ECP_4735,NA,KFF-pyrH JVpna-43 ECP_0179,2,9;10
ECP_0236,ECP_0236,KFF-pyrH JVpna-43 ECP_0179 reverse,2,2;4
ECP_0271,proB,KFF-pyrH JVpna-43 ECP_0179,2,5;10
ECP_0308,ECP_0308,KFF-pyrH JVpna-43 ECP_0179 reverse,2,2;7
ECP_0325,ECP_0325,KFF-pyrH JVpna-43 ECP_0179,2,6;10
ECP_0350,yagU,KFF-pyrH JVpna-43 ECP_0179 reverse,2,8;9
ECP_0375,lutB,KFF-pyrH JVpna-43 ECP_0179 reverse,2,2;5
ECP_0376,lutC,KFF-pyrH JVpna-43 ECP_0179,2,9;10
ECP_0377,NA,KFF-pyrH JVpna-43 ECP_0179,2,2;6
ECP_0396,NA,KFF-pyrH JVpna-43 ECP_0179,2,6;8
ECP_0404,ECP_0404,KFF-pyrH JVpna-43 ECP_0179 reverse,2,5;9
ECP_0404,ECP_0404,KFF-pyrH JVpna-43 ECP_0179,2,6;10
ECP_0419,yaiL,KFF-pyrH JVpna-43 ECP_0179 reverse,2,2;3
ECP_0419,yaiL,KFF-pyrH JVpna-43 ECP_0179,2,2;6
ECP_0427,NA,KFF-pyrH JVpna-43 ECP_0179,2,2;5
ECP_0431,tauD,KFF-pyrH JVpna-43 ECP_0179 reverse,2,1;8
ECP_0485,ECP_0485,KFF-pyrH JVpna-43 ECP_0179 reverse,2,3;8
ECP_0490,ECP_0490,KFF-pyrH JVpna-43 ECP_0179,2,1;6
