trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_3906,yidC,KFF-yidC JVpna-44 ECP_3906,0,
sgrS,sgrS,KFF-yidC JVpna-44 ECP_3906,1,9
ECP_0185,bamA,KFF-yidC JVpna-44 ECP_3906,1,10
ECP_0568,gcl,KFF-yidC JVpna-44 ECP_3906 reverse,1,7
ECP_0656,ybeM,KFF-yidC JVpna-44 ECP_3906 reverse,1,5
ECP_0699,ECP_0699,KFF-yidC JVpna-44 ECP_3906 reverse,1,3
ECP_0762,ECP_0762,KFF-yidC JVpna-44 ECP_3906,1,1
ECP_1033,NA,KFF-yidC JVpna-44 ECP_3906,1,2
ECP_1537,ECP_1537,KFF-yidC JVpna-44 ECP_3906,1,6
ECP_1549,ydgI,KFF-yidC JVpna-44 ECP_3906,1,3
ECP_1550,ECP_1550,KFF-yidC JVpna-44 ECP_3906,1,10
ECP_1562,ECP_1562,KFF-yidC JVpna-44 ECP_3906,1,4
ECP_1642,ydiO,KFF-yidC JVpna-44 ECP_3906,1,4
ECP_1729,ECP_1729,KFF-yidC JVpna-44 ECP_3906 reverse,1,4
ECP_1760,manX,KFF-yidC JVpna-44 ECP_3906 reverse,1,10
ECP_1831,ECP_1831,KFF-yidC JVpna-44 ECP_3906 reverse,1,6
ECP_1849,ECP_1849,KFF-yidC JVpna-44 ECP_3906,1,1
ECP_1913,NA,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_2114,mdtA,KFF-yidC JVpna-44 ECP_3906,1,9
ECP_2201,ECP_2201,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_2249,ECP_2249,KFF-yidC JVpna-44 ECP_3906,1,4
ECP_2290,ECP_2290,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_2628,ECP_2628,KFF-yidC JVpna-44 ECP_3906 reverse,1,8
ECP_2982,ECP_2982,KFF-yidC JVpna-44 ECP_3906 reverse,1,9
ECP_3044,ECP_3044,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_3105,ygiK,KFF-yidC JVpna-44 ECP_3906,1,7
ECP_3129,ygiC,KFF-yidC JVpna-44 ECP_3906,1,3
ECP_3164,ECP_3164,KFF-yidC JVpna-44 ECP_3906 reverse,1,4
ECP_3407,ECP_3407,KFF-yidC JVpna-44 ECP_3906 reverse,1,3
ECP_3764,NA,KFF-yidC JVpna-44 ECP_3906 reverse,1,2
ECP_3944,ECP_3944,KFF-yidC JVpna-44 ECP_3906,1,6
ECP_4090,ECP_4090,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_4146,ECP_4146,KFF-yidC JVpna-44 ECP_3906,1,9
ECP_4225,aceA,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_4465,ECP_4465,KFF-yidC JVpna-44 ECP_3906,1,1
ECP_4500,ECP_4500,KFF-yidC JVpna-44 ECP_3906,1,4
ECP_4692,ECP_4692,KFF-yidC JVpna-44 ECP_3906,1,9
ECP_4787,ECP_4787,KFF-yidC JVpna-44 ECP_3906 reverse,1,10
ECP_0002,thrA,KFF-yidC JVpna-44 ECP_3906,2,7;9
ECP_0002,thrA,KFF-yidC JVpna-44 ECP_3906 reverse,2,6;10
ECP_0038,ECP_0038,KFF-yidC JVpna-44 ECP_3906,2,4;5
ECP_0039,ECP_0039,KFF-yidC JVpna-44 ECP_3906,2,1;4
ECP_0050,ccdB,KFF-yidC JVpna-44 ECP_3906,2,3;9
ECP_0052,ECP_0052,KFF-yidC JVpna-44 ECP_3906,2,9;10
ECP_0064,ECP_0064,KFF-yidC JVpna-44 ECP_3906,2,1;10
ECP_0084,rsmH,KFF-yidC JVpna-44 ECP_3906,2,1;4
ECP_0128,ECP_0128,KFF-yidC JVpna-44 ECP_3906,2,5;7
ECP_0128,ECP_0128,KFF-yidC JVpna-44 ECP_3906 reverse,2,6;10
ECP_0130,cueO,KFF-yidC JVpna-44 ECP_3906,2,5;9
ECP_0139,ECP_0139,KFF-yidC JVpna-44 ECP_3906 reverse,2,7;9
ECP_0145,ECP_0145,KFF-yidC JVpna-44 ECP_3906,2,2;5
ECP_0147,ECP_0147,KFF-yidC JVpna-44 ECP_3906 reverse,2,3;6
ECP_0174,ECP_0174,KFF-yidC JVpna-44 ECP_3906,2,5;9
ECP_0194,ldcC,KFF-yidC JVpna-44 ECP_3906,2,4;7
ECP_0231,ECP_0231,KFF-yidC JVpna-44 ECP_3906,2,2;10
ECP_0241,ECP_0241,KFF-yidC JVpna-44 ECP_3906 reverse,2,4;6
ECP_0269,crl,KFF-yidC JVpna-44 ECP_3906 reverse,2,3;5
ECP_0277,NA,KFF-yidC JVpna-44 ECP_3906,2,2;4
ECP_0319,ECP_0319,KFF-yidC JVpna-44 ECP_3906,2,2;4
