trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_2841,ECP_2841,KFF-rpsH JVpna-48 ECP_3394,1,10
ECP_0139,ECP_0139,KFF-rpsH JVpna-48 ECP_3394 reverse,2,2;8
ECP_1051,ECP_1051,KFF-rpsH JVpna-48 ECP_3394 reverse,2,4;8
ECP_1742,ECP_1742,KFF-rpsH JVpna-48 ECP_3394,2,1;8
ECP_1755,pabB,KFF-rpsH JVpna-48 ECP_3394,2,4;10
ECP_2070,ECP_2070,KFF-rpsH JVpna-48 ECP_3394 reverse,2,8;10
ECP_2106,ECP_2106,KFF-rpsH JVpna-48 ECP_3394,2,4;8
ECP_2208,ECP_2208,KFF-rpsH JVpna-48 ECP_3394 reverse,2,9;10
ECP_2274,ECP_2274,KFF-rpsH JVpna-48 ECP_3394,2,2;3
ECP_2348,ECP_2348,KFF-rpsH JVpna-48 ECP_3394,2,2;6
ECP_3354,fis,KFF-rpsH JVpna-48 ECP_3394 reverse,2,4;5
ECP_3487,hslO,KFF-rpsH JVpna-48 ECP_3394,2,3;10
ECP_4040,udp,KFF-rpsH JVpna-48 ECP_3394,2,1;7
