trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_2656,csrA,KFF-csrA JVpna-50 ECP_2656,0,
ECP_4735,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_0640,ECP_0640,KFF-csrA JVpna-50 ECP_2656,1,2
ECP_0830,ECP_0830,KFF-csrA JVpna-50 ECP_2656 reverse,1,7
ECP_0931,ECP_0931,KFF-csrA JVpna-50 ECP_2656,1,5
ECP_1076,ECP_1076,KFF-csrA JVpna-50 ECP_2656,1,9
ECP_1096,ycfL,KFF-csrA JVpna-50 ECP_2656,1,5
ECP_1164,ECP_1164,KFF-csrA JVpna-50 ECP_2656,1,5
ECP_1187,ECP_1187,KFF-csrA JVpna-50 ECP_2656 reverse,1,6
ECP_1434,tehB,KFF-csrA JVpna-50 ECP_2656,1,9
ECP_1573,rnfB,KFF-csrA JVpna-50 ECP_2656,1,3
ECP_1615,ydhS,KFF-csrA JVpna-50 ECP_2656,1,10
ECP_1744,ECP_1744,KFF-csrA JVpna-50 ECP_2656,1,5
ECP_2121,ECP_2121,KFF-csrA JVpna-50 ECP_2656,1,4
ECP_4733,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_2754,scrR,KFF-csrA JVpna-50 ECP_2656 reverse,1,5
ECP_2755,ECP_2755,KFF-csrA JVpna-50 ECP_2656,1,2
ECP_3295,ECP_3295,KFF-csrA JVpna-50 ECP_2656 reverse,1,5
ECP_4744,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_4748,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_4741,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_4103,ECP_4103,KFF-csrA JVpna-50 ECP_2656,1,7
ECP_4751,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_4738,NA,KFF-csrA JVpna-50 ECP_2656 reverse,1,4
ECP_4568,ECP_4568,KFF-csrA JVpna-50 ECP_2656 reverse,1,6
ECP_0012,ECP_0012,KFF-csrA JVpna-50 ECP_2656,2,3;9
ECP_0013,ECP_0013,KFF-csrA JVpna-50 ECP_2656,2,2;8
ECP_0057,ECP_0057,KFF-csrA JVpna-50 ECP_2656 reverse,2,1;6
ECP_0081,NA,KFF-csrA JVpna-50 ECP_2656,2,4;10
ECP_0093,ECP_0093,KFF-csrA JVpna-50 ECP_2656,2,9;10
ECP_0122,aceF,KFF-csrA JVpna-50 ECP_2656,2,8;9
ECP_0150,ECP_0150,KFF-csrA JVpna-50 ECP_2656,2,3;9
ECP_0158,hrpB,KFF-csrA JVpna-50 ECP_2656,2,1;9
ECP_0167,ECP_0167,KFF-csrA JVpna-50 ECP_2656,2,1;4
ECP_0197,ECP_0197,KFF-csrA JVpna-50 ECP_2656,2,3;9
ECP_0212,NA,KFF-csrA JVpna-50 ECP_2656,2,8;10
ECP_0265,prfH,KFF-csrA JVpna-50 ECP_2656,2,5;9
ECP_0304,ECP_0304,KFF-csrA JVpna-50 ECP_2656,2,1;3
ECP_0315,ECP_0315,KFF-csrA JVpna-50 ECP_2656 reverse,2,4;6
ECP_0333,ECP_0333,KFF-csrA JVpna-50 ECP_2656 reverse,2,3;8
ECP_0364,ECP_0364,KFF-csrA JVpna-50 ECP_2656,2,2;5
ECP_0364,ECP_0364,KFF-csrA JVpna-50 ECP_2656,2,7;8
ECP_0376,lutC,KFF-csrA JVpna-50 ECP_2656,2,9;10
