trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_3906,yidC,KFF-yidC JVpna-44 ECP_3906,0,
ECP_1549,ydgI,KFF-yidC JVpna-44 ECP_3906,1,3
ECP_1550,ECP_1550,KFF-yidC JVpna-44 ECP_3906,1,10
ECP_3044,ECP_3044,KFF-yidC JVpna-44 ECP_3906,1,5
ECP_4465,ECP_4465,KFF-yidC JVpna-44 ECP_3906,1,1
ECP_0440,ECP_0440,KFF-yidC JVpna-44 ECP_3906,2,2;4
ECP_0940,ECP_0940,KFF-yidC JVpna-44 ECP_3906,2,4;9
ECP_1395,zntB,KFF-yidC JVpna-44 ECP_3906,2,2;4
ECP_1547,ECP_1547,KFF-yidC JVpna-44 ECP_3906,2,1;3
ECP_1867,ompD,KFF-yidC JVpna-44 ECP_3906,2,2;9
ECP_2128,ECP_2128,KFF-yidC JVpna-44 ECP_3906,2,2;9
ECP_2196,fadB,KFF-yidC JVpna-44 ECP_3906,2,2;4
ECP_2244,ECP_2244,KFF-yidC JVpna-44 ECP_3906,2,1;2
ECP_2559,ECP_2559,KFF-yidC JVpna-44 ECP_3906,2,2;4
ECP_3438,ECP_3438,KFF-yidC JVpna-44 ECP_3906 reverse,2,2;10
ECP_4013,ECP_4013,KFF-yidC JVpna-44 ECP_3906,2,2;3
ECP_4768,deoD,KFF-yidC JVpna-44 ECP_3906,2,1;10
