trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_0104,coaE,KFF-rplS JVpna-49 ECP_2607,0,
ECP_0328,ECP_0328,KFF-rplS JVpna-49 ECP_2607,0,
ECP_0603,cusC,KFF-rplS JVpna-49 ECP_2607,0,
ECP_0710,pgm,KFF-rplS JVpna-49 ECP_2607,0,
ECP_0826,dps,KFF-rplS JVpna-49 ECP_2607,0,
ECP_0973,ECP_0973,KFF-rplS JVpna-49 ECP_2607,0,
ECP_1680,ECP_1680,KFF-rplS JVpna-49 ECP_2607,0,
ECP_2607,rplS,KFF-rplS JVpna-49 ECP_2607,0,
ECP_3007,ECP_3007,KFF-rplS JVpna-49 ECP_2607,0,
ECP_0065,araC,KFF-rplS JVpna-49 ECP_2607 reverse,1,7
ECP_0149,ECP_0149,KFF-rplS JVpna-49 ECP_2607 reverse,1,3
ECP_0166,erpA,KFF-rplS JVpna-49 ECP_2607,1,4
ECP_0351,ECP_0351,KFF-rplS JVpna-49 ECP_2607,1,1
ECP_0473,ribD,KFF-rplS JVpna-49 ECP_2607 reverse,1,9
ECP_0571,ybbW,KFF-rplS JVpna-49 ECP_2607,1,7
ECP_0728,ECP_0728,KFF-rplS JVpna-49 ECP_2607,1,5
ECP_0770,ECP_0770,KFF-rplS JVpna-49 ECP_2607,1,1
ECP_0858,ECP_0858,KFF-rplS JVpna-49 ECP_2607 reverse,1,4
ECP_0867,ybjN,KFF-rplS JVpna-49 ECP_2607,1,10
ECP_0879,ECP_0879,KFF-rplS JVpna-49 ECP_2607 reverse,1,8
ECP_0929,ECP_0929,KFF-rplS JVpna-49 ECP_2607,1,5
ECP_0933,mukF,KFF-rplS JVpna-49 ECP_2607,1,4
ECP_0941,ECP_0941,KFF-rplS JVpna-49 ECP_2607,1,2
ECP_0947,ECP_0947,KFF-rplS JVpna-49 ECP_2607,1,1
ECP_1049,ECP_1049,KFF-rplS JVpna-49 ECP_2607 reverse,1,7
ECP_1314,yciO,KFF-rplS JVpna-49 ECP_2607,1,1
ECP_1490,ECP_1490,KFF-rplS JVpna-49 ECP_2607,1,1
ECP_1608,cfa,KFF-rplS JVpna-49 ECP_2607,1,4
ECP_1629,ECP_1629,KFF-rplS JVpna-49 ECP_2607 reverse,1,1
ECP_1633,ECP_1633,KFF-rplS JVpna-49 ECP_2607 reverse,1,3
ECP_1725,ECP_1725,KFF-rplS JVpna-49 ECP_2607,1,10
ECP_1740,ECP_1740,KFF-rplS JVpna-49 ECP_2607,1,8
ECP_1773,ECP_1773,KFF-rplS JVpna-49 ECP_2607,1,10
ECP_1783,ECP_1783,KFF-rplS JVpna-49 ECP_2607,1,5
ECP_1798,ECP_1798,KFF-rplS JVpna-49 ECP_2607 reverse,1,9
ECP_1823,ECP_1823,KFF-rplS JVpna-49 ECP_2607,1,5
ECP_2085,ECP_2085,KFF-rplS JVpna-49 ECP_2607,1,3
ECP_2123,ECP_2123,KFF-rplS JVpna-49 ECP_2607,1,5
ECP_2377,ECP_2377,KFF-rplS JVpna-49 ECP_2607,1,5
ECP_2449,ECP_2449,KFF-rplS JVpna-49 ECP_2607 reverse,1,4
ECP_2614,ECP_2614,KFF-rplS JVpna-49 ECP_2607 reverse,1,6
ECP_2657,ECP_2657,KFF-rplS JVpna-49 ECP_2607,1,1
ECP_2739,queD,KFF-rplS JVpna-49 ECP_2607,1,10
ECP_3015,ECP_3015,KFF-rplS JVpna-49 ECP_2607,1,5
