trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_3157,rpoD,KFF-rpoD JVpna-42 ECP_3157,0,
micC,micC,KFF-rpoD JVpna-42 ECP_3157 reverse,1,2
ECP_2254,ECP_2254,KFF-rpoD JVpna-42 ECP_3157 reverse,1,4
ECP_2505,ECP_2505,KFF-rpoD JVpna-42 ECP_3157 reverse,1,3
ECP_2909,scpA,KFF-rpoD JVpna-42 ECP_3157,1,4
ECP_4116,rhaR,KFF-rpoD JVpna-42 ECP_3157 reverse,1,4
ECP_4245,yjbF,KFF-rpoD JVpna-42 ECP_3157 reverse,1,2
ECP_4448,rplI,KFF-rpoD JVpna-42 ECP_3157 reverse,1,2
ECP_0003,thrB,KFF-rpoD JVpna-42 ECP_3157,2,2;6
sokC,NA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;4
ECP_0044,fixX,KFF-rpoD JVpna-42 ECP_3157,2,4;10
ECP_0047,kefC,KFF-rpoD JVpna-42 ECP_3157,2,6;7
ECP_0088,murF,KFF-rpoD JVpna-42 ECP_3157,2,6;7
ECP_0120,ECP_0120,KFF-rpoD JVpna-42 ECP_3157,2,5;7
ECP_0127,ECP_0127,KFF-rpoD JVpna-42 ECP_3157,2,5;8
ECP_0155,ECP_0155,KFF-rpoD JVpna-42 ECP_3157,2,4;8
ECP_0167,ECP_0167,KFF-rpoD JVpna-42 ECP_3157,2,6;7
ECP_0172,cdaR,KFF-rpoD JVpna-42 ECP_3157,2,1;3
ECP_0175,ECP_0175,KFF-rpoD JVpna-42 ECP_3157,2,1;2
ECP_0184,rseP,KFF-rpoD JVpna-42 ECP_3157 reverse,2,8;10
ECP_0184,rseP,KFF-rpoD JVpna-42 ECP_3157 reverse,2,5;7
ECP_0199,yaeQ,KFF-rpoD JVpna-42 ECP_3157,2,1;2
ECP_0202,ECP_0202,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;8
ECP_0213,dkgB,KFF-rpoD JVpna-42 ECP_3157,2,2;4
ECP_0229,ECP_0229,KFF-rpoD JVpna-42 ECP_3157,2,2;10
ECP_0268,frsA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;10
ECP_0275,ECP_0275,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_0329,ECP_0329,KFF-rpoD JVpna-42 ECP_3157,2,2;5
ECP_0347,ECP_0347,KFF-rpoD JVpna-42 ECP_3157 reverse,2,5;9
ECP_0435,ECP_0435,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;5
ECP_0449,ECP_0449,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_0522,ECP_0522,KFF-rpoD JVpna-42 ECP_3157,2,3;4
ECP_0528,ECP_0528,KFF-rpoD JVpna-42 ECP_3157,2,1;9
ECP_0545,ECP_0545,KFF-rpoD JVpna-42 ECP_3157,2,1;5
ECP_0573,ybbY,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;9
ECP_0588,ECP_0588,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;7
ECP_0706,ECP_0706,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_0734,sdhD,KFF-rpoD JVpna-42 ECP_3157,2,2;5
ECP_0745,ybgT,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;8
ECP_0791,bioC,KFF-rpoD JVpna-42 ECP_3157,2,6;7
ECP_0823,ECP_0823,KFF-rpoD JVpna-42 ECP_3157,2,5;7
ECP_0930,ycbJ,KFF-rpoD JVpna-42 ECP_3157 reverse,2,5;10
ECP_0943,ECP_0943,KFF-rpoD JVpna-42 ECP_3157 reverse,2,6;9
ECP_0962,ECP_0962,KFF-rpoD JVpna-42 ECP_3157,2,4;7
ECP_0967,ECP_0967,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;7
ECP_0994,torC,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;7
ECP_1020,ECP_1020,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_1053,ECP_1053,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;7
ECP_1197,ECP_1197,KFF-rpoD JVpna-42 ECP_3157,2,3;5
ECP_1230,fadR,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_1311,ECP_1311,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;3
ECP_1361,ycjM,KFF-rpoD JVpna-42 ECP_3157,2,4;6
ECP_1406,ECP_1406,KFF-rpoD JVpna-42 ECP_3157,2,1;10
ECP_1457,ECP_1457,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;7
ECP_1488,ECP_1488,KFF-rpoD JVpna-42 ECP_3157,2,4;8
ECP_1493,ECP_1493,KFF-rpoD JVpna-42 ECP_3157,2,3;9
ECP_1551,ECP_1551,KFF-rpoD JVpna-42 ECP_3157,2,2;4
ECP_1558,ECP_1558,KFF-rpoD JVpna-42 ECP_3157,2,2;4
ECP_1564,ECP_1564,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;5
ECP_1565,malX,KFF-rpoD JVpna-42 ECP_3157,2,4;10
ECP_1571,ydgK,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;10
ECP_1575,rnfD,KFF-rpoD JVpna-42 ECP_3157 reverse,2,8;10
ECP_1587,slyB,KFF-rpoD JVpna-42 ECP_3157,2,4;6
ECP_1626,ECP_1626,KFF-rpoD JVpna-42 ECP_3157,2,6;7
ECP_1665,ECP_1665,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;10
ECP_1680,ECP_1680,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;10
ECP_1683,ECP_1683,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;9
ECP_1684,ECP_1684,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_1742,ECP_1742,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_1765,ECP_1765,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;6
ryeA,ryeA,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_1822,argS,KFF-rpoD JVpna-42 ECP_3157 reverse,2,8;10
ECP_1829,ECP_1829,KFF-rpoD JVpna-42 ECP_3157 reverse,2,6;10
ECP_1836,ECP_1836,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;10
ECP_1874,fliH,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;5
ECP_1892,yedA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;7
ECP_1947,fyuA,KFF-rpoD JVpna-42 ECP_3157,2,8;9
ECP_1995,ECP_1995,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;9
ECP_1996,ECP_1996,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_2014,ECP_2014,KFF-rpoD JVpna-42 ECP_3157,2,6;8
ECP_2026,ECP_2026,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;8
ECP_2028,ECP_2028,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;9
ECP_2097,ECP_2097,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;2
ECP_2098,NA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,8;10
ECP_2175,yohD,KFF-rpoD JVpna-42 ECP_3157,2,1;5
ECP_2177,ECP_2177,KFF-rpoD JVpna-42 ECP_3157,2,4;9
ECP_2276,ECP_2276,KFF-rpoD JVpna-42 ECP_3157,2,2;9
ECP_2380,ECP_2380,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_2389,ECP_2389,KFF-rpoD JVpna-42 ECP_3157,2,4;8
ECP_2391,dsdA,KFF-rpoD JVpna-42 ECP_3157,2,4;5
ECP_2431,yfeN,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;7
ECP_2462,ECP_2462,KFF-rpoD JVpna-42 ECP_3157,2,3;10
ECP_2474,NA,KFF-rpoD JVpna-42 ECP_3157,2,3;6
ECP_2498,ECP_2498,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_2559,ECP_2559,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;3
ECP_2565,ECP_2565,KFF-rpoD JVpna-42 ECP_3157,2,6;10
ECP_2574,ECP_2574,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;8
ECP_2648,ygaH,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_2776,queF,KFF-rpoD JVpna-42 ECP_3157,2,2;10
ECP_2870,ECP_2870,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;10
ECP_2872,ygfK,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;7
ECP_2882,idi,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;7
ECP_2918,ECP_2918,KFF-rpoD JVpna-42 ECP_3157,2,1;2
ECP_2927,NA,KFF-rpoD JVpna-42 ECP_3157,2,3;9
ECP_3046,ECP_3046,KFF-rpoD JVpna-42 ECP_3157,2,4;7
ECP_3107,ECP_3107,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;7
ECP_3195,yqjE,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;4
psrO,psrO,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;4
ECP_3373,ECP_3373,KFF-rpoD JVpna-42 ECP_3157,2,2;3
ECP_3443,yheS,KFF-rpoD JVpna-42 ECP_3157,2,3;10
ECP_3461,ECP_3461,KFF-rpoD JVpna-42 ECP_3157,2,3;8
ECP_3475,ECP_3475,KFF-rpoD JVpna-42 ECP_3157,2,3;4
ECP_3529,ECP_3529,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;3
ECP_3583,pitA,KFF-rpoD JVpna-42 ECP_3157,2,5;10
ECP_3649,ECP_3649,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;6
ECP_3691,ECP_3691,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_3707,trmL,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;6
ECP_3710,ECP_3710,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;9
ECP_3739,slmA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;10
ECP_3795,ECP_3795,KFF-rpoD JVpna-42 ECP_3157,2,3;10
ECP_3799,ECP_3799,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;10
ECP_3804,ECP_3804,KFF-rpoD JVpna-42 ECP_3157,2,3;7
ECP_3821,ECP_3821,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_3821,ECP_3821,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;4
ECP_3832,ibrB,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_3833,ECP_3833,KFF-rpoD JVpna-42 ECP_3157,2,1;5
ECP_3933,ECP_3933,KFF-rpoD JVpna-42 ECP_3157,2,1;8
ECP_3935,ECP_3935,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;7
ECP_3941,ECP_3941,KFF-rpoD JVpna-42 ECP_3157,2,3;4
ECP_3952,ECP_3952,KFF-rpoD JVpna-42 ECP_3157,2,2;4
ECP_3970,ECP_3970,KFF-rpoD JVpna-42 ECP_3157 reverse,2,6;7
ECP_3972,ECP_3972,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;9
ECP_3980,rfbA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,7;9
ECP_4054,tatD,KFF-rpoD JVpna-42 ECP_3157,2,1;5
ECP_4056,ubiD,KFF-rpoD JVpna-42 ECP_3157,2,4;6
ECP_4058,ECP_4058,KFF-rpoD JVpna-42 ECP_3157,2,3;8
ECP_4065,NA,KFF-rpoD JVpna-42 ECP_3157,2,2;4
ECP_4084,yihM,KFF-rpoD JVpna-42 ECP_3157,2,1;4
ECP_4095,rbn,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;7
ECP_4105,ECP_4105,KFF-rpoD JVpna-42 ECP_3157,2,3;5
ECP_4139,ECP_4139,KFF-rpoD JVpna-42 ECP_3157,2,4;10
ECP_4190,NA,KFF-rpoD JVpna-42 ECP_3157 reverse,2,5;8
ECP_4216,zraS,KFF-rpoD JVpna-42 ECP_3157,2,4;10
ECP_4291,soxR,KFF-rpoD JVpna-42 ECP_3157,2,3;4
ECP_4310,gltP,KFF-rpoD JVpna-42 ECP_3157 reverse,2,2;10
ECP_4327,ECP_4327,KFF-rpoD JVpna-42 ECP_3157,2,9;10
ECP_4337,ECP_4337,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;10
ECP_4342,ECP_4342,KFF-rpoD JVpna-42 ECP_3157 reverse,2,6;10
ECP_4355,ECP_4355,KFF-rpoD JVpna-42 ECP_3157 reverse,2,1;4
ECP_4371,ECP_4371,KFF-rpoD JVpna-42 ECP_3157,2,2;4
ECP_4380,ECP_4380,KFF-rpoD JVpna-42 ECP_3157,2,2;6
ECP_4391,ECP_4391,KFF-rpoD JVpna-42 ECP_3157,2,1;3
ECP_4396,ECP_4396,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;9
ECP_4446,priB,KFF-rpoD JVpna-42 ECP_3157 reverse,2,3;10
ECP_4575,ECP_4575,KFF-rpoD JVpna-42 ECP_3157 reverse,2,4;10
ECP_4580,ECP_4580,KFF-rpoD JVpna-42 ECP_3157,2,4;8
ECP_4590,ECP_4590,KFF-rpoD JVpna-42 ECP_3157,2,4;5
ECP_4610,ECP_4610,KFF-rpoD JVpna-42 ECP_3157 reverse,2,6;9
ECP_4651,fimC,KFF-rpoD JVpna-42 ECP_3157 reverse,2,6;10
ECP_4685,ECP_4685,KFF-rpoD JVpna-42 ECP_3157,2,7;9
ECP_4756,rimI,KFF-rpoD JVpna-42 ECP_3157,2,3;4
