trans_id,genenames,probe_id,num_mismatch,mismatch_pos
ECP_0027,ispH,KFF-ispH JVpna-93 ECP_0027,0,
ECP_4787,ECP_4787,KFF-ispH JVpna-93 ECP_0027,0,
ECP_0078,leuO,KFF-ispH JVpna-93 ECP_0027 reverse,1,4
ECP_0146,ECP_0146,KFF-ispH JVpna-93 ECP_0027,1,5
ECP_0431,tauD,KFF-ispH JVpna-93 ECP_0027 reverse,1,4
ECP_0443,psiF,KFF-ispH JVpna-93 ECP_0027,1,7
ECP_0602,ECP_0602,KFF-ispH JVpna-93 ECP_0027,1,8
ECP_0847,yliE,KFF-ispH JVpna-93 ECP_0027,1,8
ECP_1094,ECP_1094,KFF-ispH JVpna-93 ECP_0027,1,3
ECP_1176,ECP_1176,KFF-ispH JVpna-93 ECP_0027,1,6
ECP_1270,ECP_1270,KFF-ispH JVpna-93 ECP_0027 reverse,1,7
ECP_1348,ECP_1348,KFF-ispH JVpna-93 ECP_0027,1,7
ECP_1420,aldA,KFF-ispH JVpna-93 ECP_0027,1,9
ECP_1529,ECP_1529,KFF-ispH JVpna-93 ECP_0027,1,7
ECP_1761,manY,KFF-ispH JVpna-93 ECP_0027 reverse,1,4
ECP_2391,dsdA,KFF-ispH JVpna-93 ECP_0027 reverse,1,9
ECP_2602,ECP_2602,KFF-ispH JVpna-93 ECP_0027,1,2
ECP_2997,ECP_2997,KFF-ispH JVpna-93 ECP_0027,1,7
ECP_2997,ECP_2997,KFF-ispH JVpna-93 ECP_0027 reverse,1,5
ECP_3091,metC,KFF-ispH JVpna-93 ECP_0027 reverse,1,8
ECP_3356,yhdU,KFF-ispH JVpna-93 ECP_0027,1,9
ECP_3896,ECP_3896,KFF-ispH JVpna-93 ECP_0027,1,6
ECP_3922,ECP_3922,KFF-ispH JVpna-93 ECP_0027,1,9
ECP_4112,ECP_4112,KFF-ispH JVpna-93 ECP_0027,1,9
ECP_4274,ECP_4274,KFF-ispH JVpna-93 ECP_0027,1,7
ECP_4590,ECP_4590,KFF-ispH JVpna-93 ECP_0027 reverse,1,9
ECP_0009,ECP_0009,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;6
ECP_0018,ECP_0018,KFF-ispH JVpna-93 ECP_0027,2,2;3
ECP_0032,carB,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;10
ECP_0036,ECP_0036,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_0037,ECP_0037,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;6
ECP_0037,ECP_0037,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;7
ECP_0096,ftsA,KFF-ispH JVpna-93 ECP_0027,2,1;5
ECP_0108,ECP_0108,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_0109,ECP_0109,KFF-ispH JVpna-93 ECP_0027,2,8;10
ECP_0122,aceF,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_0136,yadH,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_0145,ECP_0145,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_0155,ECP_0155,KFF-ispH JVpna-93 ECP_0027,2,9;10
ECP_0184,rseP,KFF-ispH JVpna-93 ECP_0027,2,3;8
ECP_0204,ECP_0204,KFF-ispH JVpna-93 ECP_0027,2,8;9
ECP_0248,ECP_0248,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_0263,yafP,KFF-ispH JVpna-93 ECP_0027,2,6;9
ECP_0291,ECP_0291,KFF-ispH JVpna-93 ECP_0027,2,1;3
ECP_0295,ECP_0295,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_0304,ECP_0304,KFF-ispH JVpna-93 ECP_0027,2,9;10
ECP_0366,ECP_0366,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_0368,ECP_0368,KFF-ispH JVpna-93 ECP_0027,2,2;5
ECP_0442,phoA,KFF-ispH JVpna-93 ECP_0027,2,1;7
ECP_0451,ppnP,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;7
ECP_0488,ECP_0488,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_0494,ECP_0494,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_0503,ybaV,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_0509,mdlA,KFF-ispH JVpna-93 ECP_0027,2,3;6
ECP_0512,amtB,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_0519,ECP_0519,KFF-ispH JVpna-93 ECP_0027,2,3;4
ECP_0530,apt,KFF-ispH JVpna-93 ECP_0027,2,5;10
ECP_0534,htpG,KFF-ispH JVpna-93 ECP_0027 reverse,2,5;10
ECP_0589,ECP_0589,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_0596,ECP_0596,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_0615,ECP_0615,KFF-ispH JVpna-93 ECP_0027,2,3;10
ECP_0615,ECP_0615,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_0621,ECP_0621,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;8
ECP_0635,ECP_0635,KFF-ispH JVpna-93 ECP_0027,2,4;6
ECP_0640,ECP_0640,KFF-ispH JVpna-93 ECP_0027,2,1;9
ECP_0640,ECP_0640,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_0649,ECP_0649,KFF-ispH JVpna-93 ECP_0027,2,9;10
ECP_0667,ECP_0667,KFF-ispH JVpna-93 ECP_0027,2,4;10
ECP_0695,ECP_0695,KFF-ispH JVpna-93 ECP_0027,2,2;8
ECP_0711,ECP_0711,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_0712,ECP_0712,KFF-ispH JVpna-93 ECP_0027,2,4;7
ECP_0737,ECP_0737,KFF-ispH JVpna-93 ECP_0027,2,2;3
ECP_0826,dps,KFF-ispH JVpna-93 ECP_0027,2,6;7
ECP_0833,ECP_0833,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_0843,ECP_0843,KFF-ispH JVpna-93 ECP_0027,2,6;10
ECP_0858,ECP_0858,KFF-ispH JVpna-93 ECP_0027,2,3;5
ECP_0881,ybjQ,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_0904,ftsK,KFF-ispH JVpna-93 ECP_0027,2,4;7
ECP_0920,ycaL,KFF-ispH JVpna-93 ECP_0027,2,1;7
ECP_0922,rpsA,KFF-ispH JVpna-93 ECP_0027,2,4;7
ECP_0926,lpxK,KFF-ispH JVpna-93 ECP_0027,2,3;10
ECP_0957,ymbA,KFF-ispH JVpna-93 ECP_0027,2,3;6
ECP_0961,matP,KFF-ispH JVpna-93 ECP_0027,2,6;7
ECP_0977,hyaA,KFF-ispH JVpna-93 ECP_0027 reverse,2,7;9
ECP_1022,ECP_1022,KFF-ispH JVpna-93 ECP_0027,2,1;6
ECP_1024,ycdT,KFF-ispH JVpna-93 ECP_0027,2,4;6
ECP_1034,csgB,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_1062,ECP_1062,KFF-ispH JVpna-93 ECP_0027,2,1;4
ECP_1079,ECP_1079,KFF-ispH JVpna-93 ECP_0027,2,4;9
ECP_1081,rpmF,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;3
ECP_1104,bhsA,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;8
ECP_1141,ECP_1141,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_1157,ECP_1157,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;3
ECP_1229,ECP_1229,KFF-ispH JVpna-93 ECP_0027,2,2;7
ECP_1306,ECP_1306,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_1311,ECP_1311,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_1311,ECP_1311,KFF-ispH JVpna-93 ECP_0027 reverse,2,7;9
ECP_1418,hrpA,KFF-ispH JVpna-93 ECP_0027,2,2;5
ECP_1468,NA,KFF-ispH JVpna-93 ECP_0027,2,2;3
ECP_1485,ECP_1485,KFF-ispH JVpna-93 ECP_0027,2,2;3
ECP_1540,ynfM,KFF-ispH JVpna-93 ECP_0027 reverse,2,3;9
ECP_1542,ydgD,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;3
ECP_1544,ECP_1544,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_1557,manA,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_1576,rnfG,KFF-ispH JVpna-93 ECP_0027,2,2;8
ECP_1579,dtpA,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_1581,ECP_1581,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_1583,ECP_1583,KFF-ispH JVpna-93 ECP_0027,2,1;7
ECP_1610,mdtK,KFF-ispH JVpna-93 ECP_0027,2,1;4
ECP_1635,ydiK,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;6
ECP_1655,ECP_1655,KFF-ispH JVpna-93 ECP_0027,2,2;7
ECP_1659,ECP_1659,KFF-ispH JVpna-93 ECP_0027,2,2;8
ECP_1685,ECP_1685,KFF-ispH JVpna-93 ECP_0027,2,5;8
ECP_1715,ansA,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_1756,nudL,KFF-ispH JVpna-93 ECP_0027 reverse,2,7;8
ECP_1791,ECP_1791,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_1808,ECP_1808,KFF-ispH JVpna-93 ECP_0027,2,5;10
ECP_1833,ECP_1833,KFF-ispH JVpna-93 ECP_0027,2,2;7
ECP_1842,ECP_1842,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_1848,ECP_1848,KFF-ispH JVpna-93 ECP_0027,2,2;8
dsrA,NA,KFF-ispH JVpna-93 ECP_0027,2,3;4
ECP_1893,ECP_1893,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_1910,ECP_1910,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;5
ECP_1911,ECP_1911,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_1913,NA,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;8
ECP_1931,NA,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_1942,mbtB,KFF-ispH JVpna-93 ECP_0027 reverse,2,7;9
ECP_1969,ECP_1969,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_1981,ECP_1981,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_1989,ECP_1989,KFF-ispH JVpna-93 ECP_0027,2,1;9
ECP_1997,ECP_1997,KFF-ispH JVpna-93 ECP_0027,2,2;6
ECP_2016,NA,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;5
ECP_2020,ECP_2020,KFF-ispH JVpna-93 ECP_0027,2,6;8
ECP_2061,ECP_2061,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;3
ECP_2093,ECP_2093,KFF-ispH JVpna-93 ECP_0027,2,3;6
ECP_2106,ECP_2106,KFF-ispH JVpna-93 ECP_0027,2,6;10
ECP_2108,ECP_2108,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2121,ECP_2121,KFF-ispH JVpna-93 ECP_0027,2,3;9
ECP_2133,ECP_2133,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_2149,ECP_2149,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;7
ECP_2173,ECP_2173,KFF-ispH JVpna-93 ECP_0027,2,2;8
ECP_2201,ECP_2201,KFF-ispH JVpna-93 ECP_0027,2,1;7
ECP_2210,setB,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_2219,yejB,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2235,ECP_2235,KFF-ispH JVpna-93 ECP_0027,2,4;5
ECP_2250,NA,KFF-ispH JVpna-93 ECP_0027,2,3;9
ECP_2251,eco,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_2276,ECP_2276,KFF-ispH JVpna-93 ECP_0027,2,3;8
ECP_2286,yfaD,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;6
ECP_2309,ECP_2309,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2362,ECP_2362,KFF-ispH JVpna-93 ECP_0027,2,4;10
ECP_2381,ECP_2381,KFF-ispH JVpna-93 ECP_0027,2,1;6
ECP_2383,ECP_2383,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2406,ypdA,KFF-ispH JVpna-93 ECP_0027,2,8;10
ECP_2411,ECP_2411,KFF-ispH JVpna-93 ECP_0027,2,3;6
ECP_2417,ECP_2417,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_2449,ECP_2449,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2454,ECP_2454,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_2455,ECP_2455,KFF-ispH JVpna-93 ECP_0027,2,2;7
ECP_2490,ECP_2490,KFF-ispH JVpna-93 ECP_0027,2,3;9
ECP_2494,bcp,KFF-ispH JVpna-93 ECP_0027,2,7;8
ECP_2523,ECP_2523,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_2526,sseA,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_2538,suhB,KFF-ispH JVpna-93 ECP_0027,2,6;10
ECP_2547,ECP_2547,KFF-ispH JVpna-93 ECP_0027,2,4;7
ECP_2554,hmp,KFF-ispH JVpna-93 ECP_0027,2,3;9
ECP_2574,ECP_2574,KFF-ispH JVpna-93 ECP_0027,2,1;2
ECP_2578,srmB,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_2599,ECP_2599,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_2612,ypjD,KFF-ispH JVpna-93 ECP_0027,2,7;10
ECP_2636,ECP_2636,KFF-ispH JVpna-93 ECP_0027,2,3;5
ECP_2670,norV,KFF-ispH JVpna-93 ECP_0027,2,5;8
ECP_2714,ygbJ,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2718,ECP_2718,KFF-ispH JVpna-93 ECP_0027,2,4;6
ECP_2782,ECP_2782,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2804,ECP_2804,KFF-ispH JVpna-93 ECP_0027,2,5;8
ECP_2805,hcp3,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2809,ECP_2809,KFF-ispH JVpna-93 ECP_0027,2,1;7
ECP_2821,NA,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_2830,argA,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_2842,ECP_2842,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;8
ECP_2894,ECP_2894,KFF-ispH JVpna-93 ECP_0027,2,2;10
ECP_2909,scpA,KFF-ispH JVpna-93 ECP_0027,2,4;10
ECP_2925,ECP_2925,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_2932,ECP_2932,KFF-ispH JVpna-93 ECP_0027,2,1;3
ECP_2999,yagM,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;8
ECP_3000,NA,KFF-ispH JVpna-93 ECP_0027,2,6;8
ECP_3111,ECP_3111,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_3114,mdaB,KFF-ispH JVpna-93 ECP_0027,2,6;8
ECP_3162,ECP_3162,KFF-ispH JVpna-93 ECP_0027,2,4;9
ECP_3177,ygjQ,KFF-ispH JVpna-93 ECP_0027,2,2;10
ECP_3204,ECP_3204,KFF-ispH JVpna-93 ECP_0027 reverse,2,3;5
ECP_3232,ECP_3232,KFF-ispH JVpna-93 ECP_0027,2,3;7
ECP_3250,ECP_3250,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;9
ECP_3268,ECP_3268,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;8
ECP_3290,rpoN,KFF-ispH JVpna-93 ECP_0027,2,7;10
ECP_3307,ECP_3307,KFF-ispH JVpna-93 ECP_0027 reverse,2,5;6
ECP_3315,ECP_3315,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_3337,yhdH,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_3341,accC,KFF-ispH JVpna-93 ECP_0027,2,8;10
ECP_3372,ECP_3372,KFF-ispH JVpna-93 ECP_0027 reverse,2,1;9
ECP_3409,ECP_3409,KFF-ispH JVpna-93 ECP_0027,2,1;2
ECP_3472,ECP_3472,KFF-ispH JVpna-93 ECP_0027,2,2;7
ECP_3476,ECP_3476,KFF-ispH JVpna-93 ECP_0027,2,1;3
ECP_3488,ECP_3488,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_3497,yhgA,KFF-ispH JVpna-93 ECP_0027,2,3;5
ECP_3526,ECP_3526,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_3566,yhhQ,KFF-ispH JVpna-93 ECP_0027 reverse,2,2;4
ECP_3594,slp,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_3622,yhjD,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_3627,ECP_3627,KFF-ispH JVpna-93 ECP_0027,2,1;10
ECP_3662,ECP_3662,KFF-ispH JVpna-93 ECP_0027,2,3;9
ECP_3704,lldP,KFF-ispH JVpna-93 ECP_0027 reverse,2,5;7
ECP_3761,ECP_3761,KFF-ispH JVpna-93 ECP_0027,2,3;9
ECP_3782,ECP_3782,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_3787,ECP_3787,KFF-ispH JVpna-93 ECP_0027,2,5;7
ECP_3797,ECP_3797,KFF-ispH JVpna-93 ECP_0027,2,6;8
ECP_3798,ECP_3798,KFF-ispH JVpna-93 ECP_0027,2,8;9
ECP_3845,ECP_3845,KFF-ispH JVpna-93 ECP_0027,2,1;3
ECP_3865,yicL,KFF-ispH JVpna-93 ECP_0027,2,2;3
ECP_3951,rbsB,KFF-ispH JVpna-93 ECP_0027,2,7;9
ECP_3953,rbsR,KFF-ispH JVpna-93 ECP_0027,2,1;5
ECP_3967,ilvC,KFF-ispH JVpna-93 ECP_0027 reverse,2,4;6
ECP_3987,yifK,KFF-ispH JVpna-93 ECP_0027,2,2;9
ECP_3992,aslB,KFF-ispH JVpna-93 ECP_0027,2,2;10
ECP_4019,pldB,KFF-ispH JVpna-93 ECP_0027,2,3;5
